                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   50121259 |   50120872 |   50121070 |   50121145 |   50121518 |   50120804 |   50121356 |   50121323 |   50121094 |   50121538 |   50121064 |   50121654 |   50120852
  Cycles                             |  520467038 |  520467038 |  520467038 |  520467038 |  520467038 |  520467038 |  520467038 |  520467038 |  520467038 |  520467038 |  520467038 |  520467038 |  520467038
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |  195664300 |  195664300 |  195664300 |  195664300 |  195664300 |  195664300 |  195664300 |  195664300 |  195664300 |  195664300 |  195664300 |  195664300 |  195664300
  Idle time (ns)                     |        -74 |         37 |          6 |        -35 |        -85 |         22 |         61 |        -20 |         66 |        -74 |        -84 |        -84 |        -36
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021966 |   10021928 |   10021946 |   10021953 |   10021986 |   10021914 |   10021979 |   10021974 |   10021949 |   10022000 |   10021943 |   10022009 |   10021922
  num incorrect                      |       1478 |       1452 |       1469 |       1472 |       1496 |       1450 |       1487 |       1484 |       1470 |       1508 |       1469 |       1517 |       1452
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15260 |      15186 |      15227 |      15244 |      15292 |      15183 |      15280 |      15274 |      15231 |      15320 |      15224 |      15334 |      15185
    num misses                       |         50 |         49 |         49 |         49 |         51 |         49 |         50 |         50 |         49 |         51 |         49 |         52 |         49
    miss rate                        |      0.33% |      0.32% |      0.32% |      0.32% |      0.33% |      0.32% |      0.33% |      0.33% |      0.32% |      0.33% |      0.32% |      0.34% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   60040057 |   60039914 |   60039986 |   60040017 |   60040145 |   60039881 |   60040116 |   60040103 |   60039990 |   60040214 |   60039978 |   60040214 |   60039905
    num misses                       |        128 |        126 |        126 |        126 |        128 |        126 |        128 |        128 |        126 |        128 |        126 |        128 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        178 |        175 |        175 |        175 |        179 |        175 |        178 |        178 |        175 |        179 |        175 |        180 |        175
    num misses                       |        119 |        117 |        117 |        117 |        120 |        117 |        119 |        119 |        117 |        120 |        117 |        121 |        117
    miss rate                        |     66.85% |     66.86% |     66.86% |     66.86% |     67.04% |     66.86% |     66.85% |     66.85% |     66.86% |     67.04% |     66.86% |     67.22% |     66.86%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
