                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9     
  Instructions                       |    50101912 |    50115763 |    50112718 |    50108173 |    50106694 |    50106405 |    50110372 |    50121716 |    50105625 |    50101987
  Cycles                             |  1005498088 |  1005498088 |  1005498088 |  1005498088 |  1005498088 |  1005498088 |  1005498088 |  1005498088 |  1005498088 |  1005498088
  IPC                                |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05
  Time (ns)                          |   378006800 |   378006800 |   378006800 |   378006800 |   378006800 |   378006800 |   378006800 |   378006800 |   378006800 |   378006800
  Idle time (ns)                     |         287 |         169 |          63 |         169 |          33 |         119 |         272 |         -39 |         108 |         -39
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |       -0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10018144 |    10020914 |    10020306 |    10019397 |    10019101 |    10019043 |    10019836 |    10022009 |    10018887 |    10018160
  num incorrect                      |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1517 |        1441 |        1441
  misprediction rate                 |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15334 |       15165 |       15165
    num misses                       |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          52 |          48 |          48
    miss rate                        |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.34% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60017229 |    60033845 |    60030189 |    60024744 |    60022965 |    60022621 |    60027377 |    60040243 |    60021686 |    60017306
    num misses                       |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         128 |         126 |         126
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         180 |         174 |         174
