                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11    
  Instructions                       |    50104618 |    50111238 |    50116418 |    50121654 |    50106183 |    50104955 |    50099490 |    50108092 |    50113307 |    50113620 |    50118408 |    50096605
  Cycles                             |  1247794296 |  1247794296 |  1247794296 |  1247794296 |  1247794296 |  1247794296 |  1247794296 |  1247794296 |  1247794296 |  1247794296 |  1247794296 |  1247794296
  IPC                                |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                          |   469095600 |   469095600 |   469095600 |   469095600 |   469095600 |   469095600 |   469095600 |   469095600 |   469095600 |   469095600 |   469095600 |   469095600
  Idle time (ns)                     |         182 |         267 |          49 |         -25 |         220 |         180 |         400 |         364 |         -25 |         369 |         156 |         364
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10018686 |    10020009 |    10021046 |    10022009 |    10018999 |    10018753 |    10017660 |    10019380 |    10020423 |    10020486 |    10021444 |    10017083
  num incorrect                      |        1441 |        1441 |        1441 |        1517 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441
  misprediction rate                 |       0.01% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15165 |       15165 |       15165 |       15334 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
    num misses                       |          48 |          48 |          48 |          52 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48
    miss rate                        |       0.32% |       0.32% |       0.32% |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60020475 |    60028411 |    60034634 |    60040214 |    60022345 |    60020881 |    60014323 |    60024645 |    60030889 |    60031279 |    60037026 |    60010861
    num misses                       |         126 |         126 |         126 |         128 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         174 |         174 |         174 |         180 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174
    num misses                       |         116 |         116 |         116 |         121 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116
    miss rate                        |      66.67% |      66.67% |      66.67% |      67.22% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15165 |       15165 |       15165 |       15334 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
    num cache misses                 |        6176 |        6313 |        6689 |        5274 |        6286 |        6520 |        6591 |        6359 |        6195 |        6535 |        5707 |        6324
    miss rate                        |      40.73% |      41.63% |      44.11% |      34.39% |      41.45% |      42.99% |      43.46% |      41.93% |      40.85% |      43.09% |      37.63% |      41.70%
    mpki                             |        0.12 |        0.13 |        0.13 |        0.11 |        0.13 |        0.13 |        0.13 |        0.13 |        0.12 |        0.13 |        0.11 |        0.13
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    60020475 |    60028411 |    60034634 |    60040214 |    60022345 |    60020881 |    60014323 |    60024645 |    60030889 |    60031279 |    60037026 |    60010861
    num cache misses                 |    30855107 |    30859087 |    30862954 |    30855942 |    30859170 |    30857732 |    30854920 |    30858097 |    30861358 |    30860437 |    30859258 |    30854760
    miss rate                        |      51.41% |      51.41% |      51.41% |      51.39% |      51.41% |      51.41% |      51.41% |      51.41% |      51.41% |      51.41% |      51.40% |      51.42%
    mpki                             |      615.81 |      615.81 |      615.83 |      615.62 |      615.88 |      615.86 |      615.87 |      615.83 |      615.83 |      615.81 |      615.73 |      615.91
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    30861317 |    30865434 |    30869678 |    30861255 |    30865490 |    30864286 |    30861545 |    30864490 |    30867587 |    30867006 |    30864999 |    30861118
    num cache misses                 |    30858853 |    30862756 |    30866620 |    30858997 |    30862702 |    30861237 |    30858529 |    30861639 |    30864575 |    30864019 |    30862789 |    30858432
    miss rate                        |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99%
    mpki                             |      615.89 |      615.88 |      615.90 |      615.68 |      615.95 |      615.93 |      615.94 |      615.90 |      615.90 |      615.88 |      615.80 |      615.98
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    30858890 |    30862792 |    30866657 |    30859038 |    30862737 |    30861271 |    30858565 |    30861675 |    30864610 |    30864055 |    30862826 |    30858467
