                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12    
  Instructions                       |    50121638 |    50105688 |    50113120 |    50110358 |    50108563 |    50120248 |    50104100 |    50107758 |    50108628 |    50106540 |    50117808 |    50108417 |    50114362
  Cycles                             |  1336199928 |  1336199928 |  1336199928 |  1336199928 |  1336199928 |  1336199928 |  1336199928 |  1336199928 |  1336199928 |  1336199928 |  1336199928 |  1336199928 |  1336199928
  IPC                                |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                          |   502330800 |   502330800 |   502330800 |   502330800 |   502330800 |   502330800 |   502330800 |   502330800 |   502330800 |   502330800 |   502330800 |   502330800 |   502330800
  Idle time (ns)                     |         -14 |         -14 |         182 |         280 |         421 |         210 |         492 |         105 |         179 |         382 |         350 |         210 |         280
  Idle time (%)                      |       -0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10022009 |    10018900 |    10020386 |    10019833 |    10019475 |    10021812 |    10018582 |    10019313 |    10019487 |    10019070 |    10021324 |    10019445 |    10020634
  num incorrect                      |        1517 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441
  misprediction rate                 |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15334 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
    num misses                       |          52 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48
    miss rate                        |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60040203 |    60021743 |    60030679 |    60027361 |    60025202 |    60039232 |    60019854 |    60024243 |    60025287 |    60022780 |    60036307 |    60025034 |    60032169
    num misses                       |         128 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         180 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174
    num misses                       |         121 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116
    miss rate                        |      67.22% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15334 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
    num cache misses                 |        5210 |        6972 |        6647 |        6880 |        6758 |        5250 |        6910 |        6662 |        6725 |        6117 |        6403 |        6831 |        6458
    miss rate                        |      33.98% |      45.97% |      43.83% |      45.37% |      44.56% |      34.62% |      45.57% |      43.93% |      44.35% |      40.34% |      42.22% |      45.04% |      42.58%
    mpki                             |        0.10 |        0.14 |        0.13 |        0.14 |        0.13 |        0.10 |        0.14 |        0.13 |        0.13 |        0.12 |        0.13 |        0.14 |        0.13
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    60040203 |    60021743 |    60030679 |    60027361 |    60025202 |    60039232 |    60019854 |    60024243 |    60025287 |    60022780 |    60036307 |    60025034 |    60032169
    num cache misses                 |    31003819 |    31007699 |    31009327 |    31010019 |    31009449 |    31006715 |    31008795 |    31007037 |    31009431 |    31006529 |    31010623 |    31010066 |    31008824
    miss rate                        |      51.64% |      51.66% |      51.66% |      51.66% |      51.66% |      51.64% |      51.66% |      51.66% |      51.66% |      51.66% |      51.65% |      51.66% |      51.65%
    mpki                             |      618.57 |      618.85 |      618.79 |      618.83 |      618.85 |      618.65 |      618.89 |      618.81 |      618.84 |      618.81 |      618.75 |      618.86 |      618.76
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    31009069 |    31014704 |    31016008 |    31016932 |    31016241 |    31012001 |    31015740 |    31013732 |    31016190 |    31012680 |    31017060 |    31016931 |    31015316
    num cache misses                 |    31007092 |    31011631 |    31013204 |    31014142 |    31013628 |    31009974 |    31012747 |    31010962 |    31013465 |    31010472 |    31014404 |    31013997 |    31012807
    miss rate                        |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99%
    mpki                             |      618.64 |      618.92 |      618.86 |      618.92 |      618.93 |      618.71 |      618.97 |      618.89 |      618.92 |      618.89 |      618.83 |      618.94 |      618.84
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    31007133 |    31011665 |    31013240 |    31014177 |    31013662 |    31010013 |    31012783 |    31010996 |    31013501 |    31010509 |    31014440 |    31014031 |    31012842
