                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13    
  Instructions                       |    50117801 |    50113960 |    50113645 |    50120372 |    50110028 |    50120996 |    50112377 |    50118623 |    50118283 |    50120912 |    50110339 |    50112387 |    50121672 |    50106872
  Cycles                             |  1456373142 |  1456373142 |  1456373142 |  1456373142 |  1456373142 |  1456373142 |  1456373142 |  1456373142 |  1456373142 |  1456373142 |  1456373142 |  1456373142 |  1456373142 |  1456373142
  IPC                                |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Time (ns)                          |   547508700 |   547508700 |   547508700 |   547508700 |   547508700 |   547508700 |   547508700 |   547508700 |   547508700 |   547508700 |   547508700 |   547508700 |   547508700 |   547508700
  Idle time (ns)                     |         145 |         276 |          -5 |         319 |         262 |        6198 |          59 |         -11 |        -161 |        1275 |         -44 |         319 |        -161 |         262
  Idle time (%)                      |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |       -0.0% |        0.0% |       -0.0% |        0.0% |       -0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10021322 |    10020554 |    10020491 |    10021836 |    10019767 |    10021934 |    10020237 |    10021487 |    10021418 |    10021928 |    10019829 |    10020239 |    10022009 |    10019136
  num incorrect                      |        1441 |        1441 |        1441 |        1441 |        1441 |        1466 |        1441 |        1441 |        1441 |        1454 |        1441 |        1441 |        1517 |        1441
  misprediction rate                 |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.01%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15165 |       15165 |       15165 |       15165 |       15165 |       15212 |       15165 |       15165 |       15165 |       15191 |       15165 |       15165 |       15334 |       15165
    num misses                       |          48 |          48 |          48 |          48 |          48 |          49 |          48 |          48 |          48 |          49 |          48 |          48 |          52 |          48
    miss rate                        |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.34% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60036293 |    60031686 |    60031310 |    60039377 |    60026968 |    60039957 |    60029787 |    60037283 |    60036857 |    60039915 |    60027335 |    60029799 |    60040224 |    60023181
    num misses                       |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         128 |         126
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         174 |         174 |         174 |         174 |         174 |         175 |         174 |         174 |         174 |         175 |         174 |         174 |         180 |         174
    num misses                       |         116 |         116 |         116 |         116 |         116 |         117 |         116 |         116 |         116 |         117 |         116 |         116 |         121 |         116
    miss rate                        |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.86% |      66.67% |      66.67% |      66.67% |      66.86% |      66.67% |      66.67% |      67.22% |      66.67%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15165 |       15165 |       15165 |       15165 |       15165 |       15212 |       15165 |       15165 |       15165 |       15191 |       15165 |       15165 |       15334 |       15165
    num cache misses                 |        6129 |        6533 |        6407 |        6683 |        6327 |        5526 |        6620 |        6039 |        6444 |        6062 |        6325 |        6525 |        5720 |        6113
    miss rate                        |      40.42% |      43.08% |      42.25% |      44.07% |      41.72% |      36.33% |      43.65% |      39.82% |      42.49% |      39.91% |      41.71% |      43.03% |      37.30% |      40.31%
    mpki                             |        0.12 |        0.13 |        0.13 |        0.13 |        0.13 |        0.11 |        0.13 |        0.12 |        0.13 |        0.12 |        0.13 |        0.13 |        0.11 |        0.12
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    60036293 |    60031686 |    60031310 |    60039377 |    60026968 |    60039957 |    60029787 |    60037283 |    60036857 |    60039915 |    60027335 |    60029799 |    60040224 |    60023181
    num cache misses                 |    31472014 |    31474098 |    31474107 |    31475998 |    31472498 |    31468691 |    31471398 |    31473874 |    31474353 |    31472581 |    31471061 |    31473740 |    31470964 |    31470978
