                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13    
  Instructions                       |    50096044 |    50121654 |    50108617 |    50116411 |    50103039 |    50097198 |    50106308 |    50117133 |    50094538 |    50097363 |    50099758 |    50105297 |    50100137 |    50090532
  Cycles                             |  1456065646 |  1456065646 |  1456065646 |  1456065646 |  1456065646 |  1456065646 |  1456065646 |  1456065646 |  1456065646 |  1456065646 |  1456065646 |  1456065646 |  1456065646 |  1456065646
  IPC                                |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Time (ns)                          |   547393100 |   547393100 |   547393100 |   547393100 |   547393100 |   547393100 |   547393100 |   547393100 |   547393100 |   547393100 |   547393100 |   547393100 |   547393100 |   547393100
  Idle time (ns)                     |         181 |         -88 |         112 |          68 |         -88 |         244 |         112 |          54 |         144 |          48 |         542 |         355 |         447 |          68
  Idle time (%)                      |        0.0% |       -0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10016971 |    10022009 |    10019486 |    10021044 |    10018370 |    10017201 |    10019023 |    10021188 |    10016670 |    10017235 |    10017714 |    10018822 |    10017789 |    10015869
  num incorrect                      |        1441 |        1517 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441
  misprediction rate                 |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15165 |       15334 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
    num misses                       |          48 |          52 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48
    miss rate                        |       0.32% |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60010186 |    60040214 |    60025273 |    60034628 |    60018571 |    60011571 |    60022503 |    60035492 |    60008383 |    60011756 |    60014644 |    60021293 |    60015097 |    60003573
    num misses                       |         126 |         128 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         174 |         180 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174
    num misses                       |         116 |         121 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116
    miss rate                        |      66.67% |      67.22% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15165 |       15334 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
    num cache misses                 |        6793 |        5455 |        6844 |        5209 |        5552 |        6769 |        6938 |        5785 |        6654 |        7016 |        6905 |        6809 |        6944 |        6778
    miss rate                        |      44.79% |      35.57% |      45.13% |      34.35% |      36.61% |      44.64% |      45.75% |      38.15% |      43.88% |      46.26% |      45.53% |      44.90% |      45.79% |      44.70%
    mpki                             |        0.14 |        0.11 |        0.14 |        0.10 |        0.11 |        0.14 |        0.14 |        0.12 |        0.13 |        0.14 |        0.14 |        0.14 |        0.14 |        0.14
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    60010186 |    60040214 |    60025273 |    60034628 |    60018571 |    60011571 |    60022503 |    60035492 |    60008383 |    60011756 |    60014644 |    60021293 |    60015097 |    60003573
    num cache misses                 |    31464652 |    31465898 |    31469552 |    31463449 |    31462862 |    31465300 |    31467197 |    31468735 |    31464937 |    31464311 |    31466965 |    31467001 |    31465333 |    31462408
    miss rate                        |      52.43% |      52.41% |      52.43% |      52.41% |      52.42% |      52.43% |      52.43% |      52.42% |      52.43% |      52.43% |      52.43% |      52.43% |      52.43% |      52.43%
    mpki                             |      628.09 |      627.79 |      628.03 |      627.81 |      627.96 |      628.09 |      628.01 |      627.90 |      628.11 |      628.06 |      628.09 |      628.02 |      628.05 |      628.11
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    31471480 |    31471393 |    31476428 |    31468695 |    31468447 |    31472103 |    31474169 |    31474555 |    31471625 |    31471361 |    31473902 |    31473841 |    31472310 |    31469219
    num cache misses                 |    31469261 |    31469317 |    31474100 |    31466626 |    31466401 |    31469935 |    31471840 |    31472396 |    31469471 |    31468929 |    31471770 |    31471672 |    31469924 |    31467025
    miss rate                        |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99%
    mpki                             |      628.18 |      627.86 |      628.12 |      627.87 |      628.03 |      628.18 |      628.10 |      627.98 |      628.20 |      628.16 |      628.18 |      628.11 |      628.14 |      628.20
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    31469298 |    31469359 |    31474132 |    31466665 |    31466440 |    31469971 |    31471875 |    31472434 |    31469506 |    31468965 |    31471804 |    31471705 |    31469957 |    31467059
    num cache misses                 |        2659 |        2698 |        2650 |        2622 |        2641 |        2656 |        2663 |        2634 |        2652 |        2659 |        2653 |        2673 |        2661 |        2654
    miss rate                        |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
    mpki                             |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |       37782 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |       91.28 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       37.85 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |        1374 |        1345 |        1365 |        1339 |        1355 |        1373 |        1375 |        1351 |        1367 |        1381 |        1379 |        1395 |        1370 |        1364
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
