                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   50121633 |   50121085 |   50119553 |   50120904 |   50121183
  Cycles                             |  200731846 |  200731846 |  200731846 |  200731846 |  200731846
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |   75463100 |   75463100 |   75463100 |   75463100 |   75463100
  Idle time (ns)                     |         -8 |        218 |         -8 |         85 |         85
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022009 |   10021946 |   10021674 |   10021928 |   10021959
  num incorrect                      |       1517 |       1469 |       1441 |       1454 |       1472
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15334 |      15229 |      15165 |      15190 |      15250
    num misses                       |         52 |         49 |         48 |         49 |         49
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   60040200 |   60039989 |   60038409 |   60039922 |   60040042
    num misses                       |        128 |        126 |        126 |        126 |        127
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        180 |        175 |        174 |        175 |        176
    num misses                       |        121 |        117 |        116 |        117 |        117
    miss rate                        |     67.22% |     66.86% |     66.67% |     66.86% |     66.48%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15334 |      15229 |      15165 |      15190 |      15250
    num cache misses                 |       3817 |       3919 |       3639 |       3876 |       3928
    miss rate                        |     24.89% |     25.73% |     24.00% |     25.52% |     25.76%
    mpki                             |       0.08 |       0.08 |       0.07 |       0.08 |       0.08
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   60040200 |   60039989 |   60038409 |   60039922 |   60040042
    num cache misses                 |       3466 |       3517 |       3370 |       3484 |       3500
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       7318 |       7468 |       7042 |       7392 |       7461
    num cache misses                 |       3258 |       3205 |       3160 |       3179 |       3222
    miss rate                        |     44.52% |     42.92% |     44.87% |     43.01% |     43.18%
    mpki                             |       0.07 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3295 |       3241 |       3196 |       3215 |       3259
    num cache misses                 |       2476 |       2429 |       2410 |       2426 |       2433
    miss rate                        |     75.14% |     74.95% |     75.41% |     75.46% |     74.65%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12174 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      71.56 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      18.13 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1136 |       1134 |       1132 |       1137 |       1133
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
