                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   50121615 |   50120022 |   50121673 |   50118746 |   50120825 |   50120463
  Cycles                             |  240801820 |  240801820 |  240801820 |  240801820 |  240801820 |  240801820
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |   90527000 |   90527000 |   90527000 |   90527000 |   90527000 |   90527000
  Idle time (ns)                     |        -24 |        -26 |       -100 |        -33 |        355 |       -100
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   10022009 |   10021767 |   10022009 |   10021512 |   10021918 |   10021855
  num incorrect                      |       1517 |       1441 |       1517 |       1441 |       1450 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15332 |      15165 |      15334 |      15165 |      15185 |      15165
    num misses                       |         51 |         48 |         52 |         48 |         49 |         48
    miss rate                        |      0.33% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   60040200 |   60038965 |   60040225 |   60037435 |   60039891 |   60039495
    num misses                       |        128 |        126 |        128 |        126 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        179 |        174 |        180 |        174 |        175 |        174
    num misses                       |        120 |        116 |        121 |        116 |        117 |        116
    miss rate                        |     67.04% |     66.67% |     67.22% |     66.67% |     66.86% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15332 |      15165 |      15334 |      15165 |      15185 |      15165
    num cache misses                 |       4728 |       4791 |       4426 |       4507 |       4733 |       4774
    miss rate                        |     30.84% |     31.59% |     28.86% |     29.72% |     31.17% |     31.48%
    mpki                             |       0.09 |       0.10 |       0.09 |       0.09 |       0.09 |       0.10
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   60040200 |   60038965 |   60040225 |   60037435 |   60039891 |   60039495
    num cache misses                 |       3969 |       3960 |       3832 |       3897 |       3954 |       4017
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       8732 |       8784 |       8291 |       8439 |       8719 |       8825
    num cache misses                 |       3550 |       3421 |       3524 |       3408 |       3425 |       3439
    miss rate                        |     40.66% |     38.95% |     42.50% |     40.38% |     39.28% |     38.97%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3590 |       3458 |       3561 |       3444 |       3462 |       3478
    num cache misses                 |       2490 |       2421 |       2481 |       2427 |       2430 |       2427
    miss rate                        |     69.36% |     70.01% |     69.67% |     70.47% |     70.19% |     69.78%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14705 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      73.99 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      20.56 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1151 |       1145 |       1145 |       1151 |       1139 |       1151
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
