                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   50121511 |   50121401 |   50121427 |   50121058 |   50121706 |   50121248 |   50121178 |   50121070 |   50120848
  Cycles                             |  360317216 |  360317216 |  360317216 |  360317216 |  360317216 |  360317216 |  360317216 |  360317216 |  360317216
  IPC                                |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14
  Time (ns)                          |  135457600 |  135457600 |  135457600 |  135457600 |  135457600 |  135457600 |  135457600 |  135457600 |  135457600
  Idle time (ns)                     |         57 |         52 |         39 |         57 |        -23 |         26 |         -9 |         52 |         25
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   10021999 |   10021984 |   10021986 |   10021941 |   10022009 |   10021966 |   10021959 |   10021944 |   10021922
  num incorrect                      |       1504 |       1495 |       1496 |       1469 |       1517 |       1478 |       1472 |       1469 |       1452
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15316 |      15290 |      15294 |      15223 |      15334 |      15258 |      15250 |      15227 |      15185
    num misses                       |         51 |         50 |         51 |         49 |         52 |         50 |         49 |         49 |         49
    miss rate                        |      0.33% |      0.33% |      0.33% |      0.32% |      0.34% |      0.33% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   60040198 |   60040134 |   60040146 |   60039979 |   60040241 |   60040066 |   60040030 |   60039983 |   60039902
    num misses                       |        128 |        128 |        128 |        126 |        128 |        128 |        127 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        179 |        178 |        179 |        175 |        180 |        178 |        176 |        175 |        175
    num misses                       |        120 |        119 |        120 |        117 |        121 |        119 |        117 |        117 |        117
    miss rate                        |     67.04% |     66.85% |     67.04% |     66.86% |     67.22% |     66.85% |     66.48% |     66.86% |     66.86%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15316 |      15290 |      15294 |      15223 |      15334 |      15258 |      15250 |      15227 |      15185
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |   60040198 |   60040134 |   60040146 |   60039979 |   60040241 |   60040066 |   60040030 |   60039983 |   60039902
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |           
