                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   50121657 |   50113493 |   50104393 |   50115613 |   50105438 |   50104506 |   50100437 |   50092962 |   50093962 |   50090158 |   50087542 |   49972398
  Cycles                             |  783125280 |  783125280 |  783125280 |  783125280 |  783125280 |  783125280 |  783125280 |  783125280 |  783125280 |  783125280 |  783125280 |  783125280
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |  294408000 |  294408000 |  294408000 |  294408000 |  294408000 |  294408000 |  294408000 |  294408000 |  294408000 |  294408000 |  294408000 |  294408000
  Idle time (ns)                     |         -9 |         97 |         -9 |         97 |        252 |        199 |        198 |         70 |        182 |         57 |        225 |        247
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022009 |   10020461 |   10018641 |   10020884 |   10018850 |   10018664 |   10017850 |   10016354 |   10016554 |   10015794 |   10015270 |    9992242
  num incorrect                      |       1517 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15334 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   60040216 |   60031128 |   60020191 |   60033668 |   60021463 |   60020345 |   60015460 |   60006489 |   60007687 |   60003124 |   59999979 |   59861815
    num misses                       |        128 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        180 |        174 |        174 |        174 |        174 |        174 |        174 |        174 |        174 |        174 |        174 |        174
    num misses                       |        121 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     67.22% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15334 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165
    num cache misses                 |       5576 |       5606 |       5935 |       5293 |       5899 |       6017 |       5678 |       5831 |       6000 |       5895 |       5975 |       5525
    miss rate                        |     36.36% |     36.97% |     39.14% |     34.90% |     38.90% |     39.68% |     37.44% |     38.45% |     39.56% |     38.87% |     39.40% |     36.43%
    mpki                             |       0.11 |       0.11 |       0.12 |       0.11 |       0.12 |       0.12 |       0.11 |       0.12 |       0.12 |       0.12 |       0.12 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   60040216 |   60031128 |   60020191 |   60033668 |   60021463 |   60020345 |   60015460 |   60006489 |   60007687 |   60003124 |   59999979 |   59861815
    num cache misses                 |   19757456 |   19759700 |   19758901 |   19758127 |   19759474 |   19758787 |   19759398 |   19758266 |   19758859 |   19757535 |   19756899 |   19705317
    miss rate                        |     32.91% |     32.92% |     32.92% |     32.91% |     32.92% |     32.92% |     32.92% |     32.93% |     32.93% |     32.93% |     32.93% |     32.92%
    mpki                             |     394.19 |     394.30 |     394.35 |     394.25 |     394.36 |     394.35 |     394.40 |     394.43 |     394.44 |     394.44 |     394.45 |     394.32
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   19763069 |   19765341 |   19764871 |   19763455 |   19765407 |   19764839 |   19765111 |   19764133 |   19764895 |   19763466 |   19762909 |   19710878
    num cache misses                 |   19760691 |   19762957 |   19762114 |   19761123 |   19762883 |   19762067 |   19762721 |   19761447 |   19762169 |   19760755 |   19760193 |   19708277
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99%
    mpki                             |     394.25 |     394.36 |     394.42 |     394.31 |     394.43 |     394.42 |     394.46 |     394.50 |     394.50 |     394.50 |     394.51 |     394.38
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   19760734 |   19762995 |   19762150 |   19761163 |   19762919 |   19762105 |   19762758 |   19761488 |   19762207 |   19760793 |   19760229 |   19708314
    num cache misses                 |       2668 |       2597 |       2590 |       2579 |       2587 |       2591 |       2596 |       2588 |       2588 |       2596 |       2587 |       2588
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      31628 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      94.02 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      40.59 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1317 |       1312 |       1309 |       1303 |       1310 |       1319 |       1315 |       1313 |       1316 |       1320 |       1315 |       1309
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
