                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   50121706 |   50121262 |   50110532 |   50115232 |   50120981 |   50116867 |   50112698 |   50110068 |   50111522 |   50114791 |   50109528 |   50109622 |   50105930
  Cycles                             |  959418908 |  959418908 |  959418908 |  959418908 |  959418908 |  959418908 |  959418908 |  959418908 |  959418908 |  959418908 |  959418908 |  959418908 |  959418908
  IPC                                |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |  360683800 |  360683800 |  360683800 |  360683800 |  360683800 |  360683800 |  360683800 |  360683800 |  360683800 |  360683800 |  360683800 |  360683800 |  360683800
  Idle time (ns)                     |        -85 |        610 |         81 |        148 |         43 |         70 |         43 |         -7 |        -26 |        -85 |        -33 |         -1 |        120
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022009 |   10021966 |   10019868 |   10020809 |   10021933 |   10021135 |   10020302 |   10019776 |   10020066 |   10020720 |   10019668 |   10019686 |   10018948
  num incorrect                      |       1517 |       1478 |       1441 |       1441 |       1462 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15334 |      15260 |      15165 |      15165 |      15205 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165
    num misses                       |         52 |         50 |         48 |         48 |         49 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   60040237 |   60040050 |   60027569 |   60033214 |   60039954 |   60035175 |   60030175 |   60027018 |   60028762 |   60032685 |   60026371 |   60026479 |   60022051
    num misses                       |        128 |        128 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        180 |        178 |        174 |        174 |        175 |        174 |        174 |        174 |        174 |        174 |        174 |        174 |        174
