                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13    
  Instructions                       |    50121059 |    50121633 |    50121174 |    50105447 |    50107273 |    50113447 |    50107588 |    50109898 |    50110308 |    50107972 |    50105873 |    50107838 |    50105035 |    50107797
  Cycles                             |  1172192840 |  1172192840 |  1172192840 |  1172192840 |  1172192840 |  1172192840 |  1172192840 |  1172192840 |  1172192840 |  1172192840 |  1172192840 |  1172192840 |  1172192840 |  1172192840
  IPC                                |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                          |   440674000 |   440674000 |   440674000 |   440674000 |   440674000 |   440674000 |   440674000 |   440674000 |   440674000 |   440674000 |   440674000 |   440674000 |   440674000 |   440674000
  Idle time (ns)                     |         523 |         -36 |         147 |         118 |         -36 |         237 |         126 |          58 |          39 |         147 |         235 |          39 |          20 |         225
  Idle time (%)                      |        0.0% |       -0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10021941 |    10022009 |    10021957 |    10018851 |    10019217 |    10020452 |    10019280 |    10019741 |    10019824 |    10019356 |    10018937 |    10019330 |    10018769 |    10019321
  num incorrect                      |        1469 |        1517 |        1472 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441
  misprediction rate                 |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15223 |       15334 |       15247 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
    num misses                       |          49 |          52 |          49 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48
    miss rate                        |       0.32% |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60039965 |    60040200 |    60040005 |    60021469 |    60023650 |    60031074 |    60024040 |    60026811 |    60027309 |    60024489 |    60021982 |    60024341 |    60020971 |    60024291
    num misses                       |         126 |         128 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         175 |         180 |         175 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174
    num misses                       |         117 |         121 |         117 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116
    miss rate                        |      66.86% |      67.22% |      66.86% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15223 |       15334 |       15247 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
    num cache misses                 |        5980 |        6214 |        5855 |        6155 |        6402 |        6590 |        6239 |        6645 |        6357 |        6514 |        6571 |        6537 |        6531 |        6344
    miss rate                        |      39.28% |      40.52% |      38.40% |      40.59% |      42.22% |      43.46% |      41.14% |      43.82% |      41.92% |      42.95% |      43.33% |      43.11% |      43.07% |      41.83%
    mpki                             |        0.12 |        0.12 |        0.12 |        0.12 |        0.13 |        0.13 |        0.12 |        0.13 |        0.13 |        0.13 |        0.13 |        0.13 |        0.13 |        0.13
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    60039965 |    60040200 |    60040005 |    60021469 |    60023650 |    60031074 |    60024040 |    60026811 |    60027309 |    60024489 |    60021982 |    60024341 |    60020971 |    60024291
    num cache misses                 |    25355135 |    25357683 |    25353636 |    25356537 |    25354529 |    25353799 |    25356999 |    25352977 |    25356934 |    25356423 |    25356633 |    25355993 |    25357311 |    25355523
    miss rate                        |      42.23% |      42.23% |      42.23% |      42.25% |      42.24% |      42.23% |      42.24% |      42.24% |      42.24% |      42.24% |      42.25% |      42.24% |      42.25% |      42.24%
    mpki                             |      505.88 |      505.92 |      505.85 |      506.06 |      506.00 |      505.93 |      506.05 |      505.95 |      506.02 |      506.04 |      506.06 |      506.03 |      506.08 |      506.02
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    25361154 |    25363933 |    25359524 |    25362727 |    25360966 |    25360424 |    25363274 |    25359658 |    25363326 |    25362973 |    25363237 |    25362564 |    25363877 |    25361902
    num cache misses                 |    25359003 |    25361617 |    25357341 |    25360452 |    25358608 |    25358085 |    25361017 |    25357118 |    25361175 |    25360641 |    25360601 |    25359856 |    25361296 |    25359480
    miss rate                        |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99%
    mpki                             |      505.96 |      506.00 |      505.92 |      506.14 |      506.09 |      506.01 |      506.13 |      506.03 |      506.11 |      506.12 |      506.14 |      506.11 |      506.16 |      506.10
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    25359044 |    25361657 |    25357380 |    25360489 |    25358645 |    25358122 |    25361055 |    25357156 |    25361211 |    25360678 |    25360634 |    25359890 |    25361331 |    25359515
    num cache misses                 |        2690 |        2728 |        2674 |        2660 |        2661 |        2666 |        2666 |        2669 |        2668 |        2664 |        2658 |        2663 |        2666 |        2649
    miss rate                        |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
    mpki                             |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |       38010 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |       98.53 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       45.10 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
