                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14    
  Instructions                       |    48054423 |    48138761 |    48427001 |    48519903 |    48257776 |    48064295 |    48220261 |    48414207 |    48371143 |    48267355 |    48261037 |    33388503 |    50121685 |    49002451 |    48079297
  Cycles                             |  1326077298 |  1326077298 |  1326077298 |  1326077298 |  1326077298 |  1326077298 |  1326077298 |  1326077298 |  1326077298 |  1326077298 |  1326077298 |  1326077298 |  1326077298 |  1326077298 |  1326077298
  IPC                                |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.03 |        0.04 |        0.04 |        0.04
  Time (ns)                          |   498525300 |   498525300 |   498525300 |   498525300 |   498525300 |   498525300 |   498525300 |   498525300 |   498525300 |   498525300 |   498525300 |   498525300 |   498525300 |   498525300 |   498525300
  Idle time (ns)                     |         271 |         -14 |         170 |         398 |         398 |         229 |         224 |         224 |         229 |         100 |          79 |         450 |         -14 |         450 |         134
  Idle time (%)                      |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |     9608647 |     9625514 |     9683162 |     9701743 |     9649317 |     9610621 |     9641814 |     9680603 |     9671991 |     9651233 |     9649969 |     6675463 |    10022009 |     9798252 |     9613621
  num incorrect                      |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1517 |        1441 |        1441
  misprediction rate                 |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.02% |       0.01% |       0.01%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.04 |        0.03 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15334 |       15165 |       15165
    num misses                       |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          52 |          48 |          48
    miss rate                        |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.34% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
