                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |    50121633 |    47615221 |    46464180 |    47380312 |    47188902 |    46873782 |    47176008 |    47089238 |    46981826 |    47106396 |    47078953 |    47102760 |    47146748 |    47047761 |    47155957 |    26419907
  Cycles                             |  1473298722 |  1473298722 |  1473298722 |  1473298722 |  1473298722 |  1473298722 |  1473298722 |  1473298722 |  1473298722 |  1473298722 |  1473298722 |  1473298722 |  1473298722 |  1473298722 |  1473298722 |  1473298722
  IPC                                |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.02
  Time (ns)                          |   553871700 |   553871700 |   553871700 |   553871700 |   553871700 |   553871700 |   553871700 |   553871700 |   553871700 |   553871700 |   553871700 |   553871700 |   553871700 |   553871700 |   553871700 |   553871700
  Idle time (ns)                     |         -47 |          53 |         434 |         267 |          30 |         -47 |         387 |         506 |         419 |         474 |         362 |         267 |         434 |         474 |         188 |          77
  Idle time (%)                      |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10022009 |     9520806 |     9290598 |     9473824 |     9435542 |     9372519 |     9432964 |     9415610 |     9394127 |     9419041 |     9413553 |     9418314 |     9427111 |     9407314 |     9428954 |     5281743
  num incorrect                      |        1517 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441
  misprediction rate                 |       0.02% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02% |       0.03%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.05
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15334 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
    num misses                       |          52 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48
    miss rate                        |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60040200 |    57033199 |    55651948 |    56751305 |    56521617 |    56143456 |    56506141 |    56402022 |    56273127 |    56422611 |    56389681 |    56418248 |    56471031 |    56352245 |    56482084 |    31598821
    num misses                       |         128 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         180 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174
    num misses                       |         121 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116
    miss rate                        |      67.22% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15334 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
    num cache misses                 |        6995 |        7069 |        6760 |        6985 |        5637 |        6122 |        6838 |        7061 |        7036 |        6982 |        5908 |        5467 |        6662 |        6990 |        6735 |        6892
    miss rate                        |      45.62% |      46.61% |      44.58% |      46.06% |      37.17% |      40.37% |      45.09% |      46.56% |      46.40% |      46.04% |      38.96% |      36.05% |      43.93% |      46.09% |      44.41% |      45.45%
    mpki                             |        0.14 |        0.15 |        0.15 |        0.15 |        0.12 |        0.13 |        0.14 |        0.15 |        0.15 |        0.15 |        0.13 |        0.12 |        0.14 |        0.15 |        0.14 |        0.26
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
