                                     | Core 0     | Core 1    
  Instructions                       |   50121635 |   50120859
  Cycles                             |  140421400 |  140421400
  IPC                                |       0.36 |       0.36
  Time (ns)                          |   52790000 |   52790000
  Idle time (ns)                     |       -764 |        -18
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   10022009 |   10021924
  num incorrect                      |       1517 |       1452
  misprediction rate                 |      0.02% |      0.01%
  mpki                               |       0.03 |       0.03
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15334 |      15185
    num misses                       |         52 |         49
    miss rate                        |      0.34% |      0.32%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   60040202 |   60039903
    num misses                       |        128 |        126
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        180 |        175
    num misses                       |        121 |        117
    miss rate                        |     67.22% |     66.86%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15334 |      15185
    num cache misses                 |        955 |        916
    miss rate                        |      6.23% |      6.03%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |   60040202 |   60039903
    num cache misses                 |       1934 |       1930
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.04 |       0.04
  Cache L2                           |            |           
    num cache accesses               |       2930 |       2887
    num cache misses                 |       2568 |       2513
    miss rate                        |     87.65% |     87.05%
    mpki                             |       0.05 |       0.05
  Cache L3                           |            |           
    num cache accesses               |       2610 |       2555
    num cache misses                 |       2476 |       2424
    miss rate                        |     94.87% |     94.87%
    mpki                             |       0.05 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |       4900 |          0
  average dram access latency (ns)   |      68.03 |        inf
  average dram queueing delay        |      14.60 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1123 |       1118
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
