                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   50121577 |   50121334 |   50121633 |   50117343
  Cycles                             |  160503868 |  160503868 |  160503868 |  160503868
  IPC                                |       0.31 |       0.31 |       0.31 |       0.31
  Time (ns)                          |   60339800 |   60339800 |   60339800 |   60339800
  Idle time (ns)                     |        -76 |        -43 |       -110 |       -110
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10022004 |   10021975 |   10022009 |   10021233
  num incorrect                      |       1512 |       1484 |       1517 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.02% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15326 |      15275 |      15334 |      15165
    num misses                       |         51 |         50 |         52 |         48
    miss rate                        |      0.33% |      0.33% |      0.34% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   60040230 |   60040052 |   60040200 |   60035760
    num misses                       |        128 |        128 |        128 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        179 |        178 |        180 |        174
    num misses                       |        120 |        119 |        121 |        116
    miss rate                        |     67.04% |     66.85% |     67.22% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15326 |      15275 |      15334 |      15165
    num cache misses                 |       1621 |       1556 |       1606 |       1419
    miss rate                        |     10.58% |     10.19% |     10.47% |      9.36%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   60040230 |   60040052 |   60040200 |   60035760
    num cache misses                 |       2627 |       2631 |       2626 |       2558
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
  Cache L2                           |            |            |            |           
    num cache accesses               |       4285 |       4222 |       4272 |       4011
    num cache misses                 |       2793 |       2761 |       2793 |       2716
    miss rate                        |     65.18% |     65.40% |     65.38% |     67.71%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |       2833 |       2799 |       2833 |       2753
    num cache misses                 |       2471 |       2443 |       2476 |       2410
    miss rate                        |     87.22% |     87.28% |     87.40% |     87.54%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9800 |          0 |          0 |          0
  average dram access latency (ns)   |      70.88 |        inf |        inf |        inf
  average dram queueing delay        |      17.45 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1132 |       1123 |       1130 |       1122
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
