                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   50121633 |   50120845 |   50119386 |   50115197 |   50113328
  Cycles                             |  200539794 |  200539794 |  200539794 |  200539794 |  200539794
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |   75390900 |   75390900 |   75390900 |   75390900 |   75390900
  Idle time (ns)                     |        -87 |        -30 |        -53 |        -87 |        -56
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022009 |   10021920 |   10021639 |   10020802 |   10020429
  num incorrect                      |       1517 |       1452 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15334 |      15185 |      15165 |      15165 |      15165
    num misses                       |         52 |         49 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   60040200 |   60039858 |   60038198 |   60033156 |   60030939
    num misses                       |        128 |        126 |        126 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        180 |        175 |        174 |        174 |        174
    num misses                       |        121 |        117 |        116 |        116 |        116
    miss rate                        |     67.22% |     66.86% |     66.67% |     66.67% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15334 |      15185 |      15165 |      15165 |      15165
    num cache misses                 |       3433 |       3494 |       3499 |       3545 |       3590
    miss rate                        |     22.39% |     23.01% |     23.07% |     23.38% |     23.67%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   60040200 |   60039858 |   60038198 |   60033156 |   60030939
    num cache misses                 |       3340 |       3317 |       3356 |       3336 |       3312
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       6808 |       6842 |       6888 |       6914 |       6934
    num cache misses                 |       3212 |       3114 |       3141 |       3131 |       3135
    miss rate                        |     47.18% |     45.51% |     45.60% |     45.28% |     45.21%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3250 |       3149 |       3177 |       3167 |       3171
    num cache misses                 |       2476 |       2424 |       2410 |       2410 |       2410
    miss rate                        |     76.18% |     76.98% |     75.86% |     76.10% |     76.00%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12130 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      72.83 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      19.41 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1140 |       1127 |       1133 |       1135 |       1135
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
