                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   50121648 |   50119403 |   50115650 |   50114004 |   50112147 |   50110838 |   50110403
  Cycles                             |  280605528 |  280605528 |  280605528 |  280605528 |  280605528 |  280605528 |  280605528
  IPC                                |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18
  Time (ns)                          |  105490800 |  105490800 |  105490800 |  105490800 |  105490800 |  105490800 |  105490800
  Idle time (ns)                     |        -94 |        -12 |        -55 |        -94 |         10 |        -25 |        -48
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |   10022009 |   10021643 |   10020892 |   10020563 |   10020192 |   10019930 |   10019844
  num incorrect                      |       1517 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      15334 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   60040214 |   60038219 |   60033713 |   60031722 |   60029513 |   60027943 |   60027427
    num misses                       |        128 |        126 |        126 |        126 |        126 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        180 |        174 |        174 |        174 |        174 |        174 |        174
    num misses                       |        121 |        116 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     67.22% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |      15334 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165
    num cache misses                 |       4867 |       4857 |       5144 |       5205 |       5136 |       4788 |       4903
    miss rate                        |     31.74% |     32.03% |     33.92% |     34.32% |     33.87% |     31.57% |     32.33%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |   60040214 |   60038219 |   60033713 |   60031722 |   60029513 |   60027943 |   60027427
    num cache misses                 |       4239 |       4240 |       4407 |       4411 |       4407 |       4196 |       4263
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.08 |       0.08 |       0.09 |       0.09 |       0.09 |       0.08 |       0.09
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |       9142 |       9133 |       9586 |       9651 |       9578 |       9020 |       9202
    num cache misses                 |       3698 |       3584 |       3634 |       3671 |       3657 |       3610 |       3603
    miss rate                        |     40.45% |     39.24% |     37.91% |     38.04% |     38.18% |     40.02% |     39.15%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |       3739 |       3624 |       3671 |       3708 |       3694 |       3647 |       3640
    num cache misses                 |       2489 |       2427 |       2427 |       2427 |       2428 |       2432 |       2430
    miss rate                        |     66.57% |     66.97% |     66.11% |     65.45% |     65.73% |     66.68% |     66.76%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      17110 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      78.98 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      25.55 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1159 |       1152 |       1156 |       1152 |       1157 |       1165 |       1157
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
