                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   49817557 |   49889922 |   49138848 |   49366987 |   49204182 |   49170003 |   49815492 |   49595680 |   50121706
  Cycles                             |  456354654 |  456354654 |  456354654 |  456354654 |  456354654 |  456354654 |  456354654 |  456354654 |  456354654
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |  171561900 |  171561900 |  171561900 |  171561900 |  171561900 |  171561900 |  171561900 |  171561900 |  171561900
  Idle time (ns)                     |         53 |         33 |         33 |         51 |         14 |        -19 |         51 |        -29 |        -19
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    9961273 |    9975746 |    9825532 |    9871159 |    9838598 |    9831763 |    9960861 |    9916898 |   10022009
  num incorrect                      |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1517
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15334
    num misses                       |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         52
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   59676001 |   59762840 |   58861554 |   59135316 |   58939954 |   58898941 |   59673528 |   59409735 |   60040237
    num misses                       |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        174 |        174 |        174 |        174 |        174 |        174 |        174 |        174 |        178
    num misses                       |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        121
    miss rate                        |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     67.98%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15334
    num cache misses                 |       5345 |       6094 |       5288 |       6026 |       5976 |       5655 |       6191 |       5959 |       5767
    miss rate                        |     35.25% |     40.18% |     34.87% |     39.74% |     39.41% |     37.29% |     40.82% |     39.29% |     37.61%
    mpki                             |       0.11 |       0.12 |       0.11 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
