                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   40121276 |   40121414 |   40121553 |   40121394 |   40121557 |   40121631 |   40121461 |   40121419 |   40121402 |   40121241 |   40121511
  Cycles                             |  147064750 |  147064750 |  147064750 |  147064750 |  147064750 |  147064750 |  147064750 |  147064750 |  147064750 |  147064750 |  147064750
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |   55287500 |   55287500 |   55287500 |   55287500 |   55287500 |   55287500 |   55287500 |   55287500 |   55287500 |   55287500 |   55287500
  Idle time (ns)                     |        -51 |         54 |         25 |        -46 |         46 |        -75 |         25 |        -76 |        -75 |          2 |        -46
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021969 |   10021985 |   10022001 |   10021983 |   10022001 |   10022008 |   10021987 |   10021974 |   10021984 |   10021965 |   10021998
  num incorrect                      |       1479 |       1496 |       1510 |       1495 |       1511 |       1517 |       1500 |       1485 |       1496 |       1478 |       1507
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15266 |      15292 |      15324 |      15290 |      15324 |      15334 |      15300 |      15276 |      15291 |      15257 |      15317
    num misses                       |         50 |         51 |         51 |         50 |         51 |         52 |         51 |         50 |         50 |         50 |         51
    miss rate                        |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40088 |      40149 |      40221 |      40142 |      40228 |      40207 |      40180 |      40107 |      40146 |      40065 |      40202
    num misses                       |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        126 |        127 |        127 |        126 |        127 |        128 |        127 |        126 |        126 |        126 |        127
    num misses                       |        119 |        120 |        120 |        119 |        120 |        121 |        120 |        119 |        119 |        119 |        120
    miss rate                        |     94.44% |     94.49% |     94.49% |     94.44% |     94.49% |     94.53% |     94.49% |     94.44% |     94.44% |     94.44% |     94.49%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15266 |      15292 |      15324 |      15290 |      15324 |      15334 |      15300 |      15276 |      15291 |      15257 |      15317
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40088 |      40149 |      40221 |      40142 |      40228 |      40207 |      40180 |      40107 |      40146 |      40065 |      40202
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
