                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   40121218 |   40121546 |   40121573 |   40121495 |   40121668 |   40121549 |   40121551 |   40121418 |   40121466 |   40121346 |   40121394 |   40121260 |   40121231 |   40121238 |   40121136 |   40121252
  Cycles                             |  213904432 |  213904432 |  213904432 |  213904432 |  213904432 |  213904432 |  213904432 |  213904432 |  213904432 |  213904432 |  213904432 |  213904432 |  213904432 |  213904432 |  213904432 |  213904432
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   80415200 |   80415200 |   80415200 |   80415200 |   80415200 |   80415200 |   80415200 |   80415200 |   80415200 |   80415200 |   80415200 |   80415200 |   80415200 |   80415200 |   80415200 |   80415200
  Idle time (ns)                     |        -85 |         18 |        -21 |        -65 |        -85 |        132 |         87 |        109 |        -85 |        132 |        -85 |        108 |         87 |         18 |         87 |        -21
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021962 |   10022000 |   10022004 |   10021997 |   10022008 |   10022001 |   10022001 |   10021985 |   10021986 |   10021977 |   10021983 |   10021965 |   10021964 |   10021965 |   10021951 |   10021965
  num incorrect                      |       1474 |       1509 |       1512 |       1503 |       1517 |       1510 |       1510 |       1496 |       1497 |       1487 |       1495 |       1479 |       1476 |       1477 |       1472 |       1478
  misprediction rate                 |      0.01% |      0.02% |      0.02% |      0.01% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15252 |      15323 |      15326 |      15313 |      15334 |      15324 |      15324 |      15293 |      15297 |      15279 |      15290 |      15263 |      15256 |      15257 |      15244 |      15260
    num misses                       |         49 |         51 |         51 |         51 |         52 |         51 |         51 |         51 |         51 |         50 |         50 |         50 |         50 |         50 |         49 |         50
    miss rate                        |      0.32% |      0.33% |      0.33% |      0.33% |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40000 |      40216 |      40233 |      40196 |      40228 |      40223 |      40218 |      40151 |      40128 |      40117 |      40141 |      40079 |      40056 |      40064 |      40015 |      40075
    num misses                       |         75 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         75 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        124 |        127 |        127 |        127 |        128 |        127 |        127 |        127 |        127 |        126 |        126 |        126 |        126 |        126 |        124 |        126
    num misses                       |        117 |        120 |        120 |        120 |        121 |        120 |        120 |        120 |        120 |        119 |        119 |        119 |        119 |        119 |        117 |        119
    miss rate                        |     94.35% |     94.49% |     94.49% |     94.49% |     94.53% |     94.49% |     94.49% |     94.49% |     94.49% |     94.44% |     94.44% |     94.44% |     94.44% |     94.44% |     94.35% |     94.44%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15252 |      15323 |      15326 |      15313 |      15334 |      15324 |      15324 |      15293 |      15297 |      15279 |      15290 |      15263 |      15256 |      15257 |      15244 |      15260
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40000 |      40216 |      40233 |      40196 |      40228 |      40223 |      40218 |      40151 |      40128 |      40117 |      40141 |      40079 |      40056 |      40064 |      40015 |      40075
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
