                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   40121455 |   40121398 |   40121479 |   40121411 |   40121342 |   40121598 |   40121631 |   40121528 |   40121420
  Cycles                             |  120331218 |  120331218 |  120331218 |  120331218 |  120331218 |  120331218 |  120331218 |  120331218 |  120331218
  IPC                                |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33
  Time (ns)                          |   45237300 |   45237300 |   45237300 |   45237300 |   45237300 |   45237300 |   45237300 |   45237300 |   45237300
  Idle time (ns)                     |        -21 |        -30 |        -93 |        -36 |        -57 |        -65 |        -93 |        -36 |         38
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   10021987 |   10021983 |   10021991 |   10021985 |   10021976 |   10022007 |   10022008 |   10022000 |   10021985
  num incorrect                      |       1499 |       1495 |       1501 |       1496 |       1486 |       1517 |       1517 |       1508 |       1496
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.02% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15299 |      15290 |      15306 |      15291 |      15278 |      15331 |      15334 |      15322 |      15294
    num misses                       |         51 |         50 |         51 |         50 |         50 |         51 |         52 |         51 |         51
    miss rate                        |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.34% |      0.33% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      40179 |      40141 |      40181 |      40147 |      40115 |      40245 |      40209 |      40218 |      40157
    num misses                       |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        127 |        126 |        127 |        126 |        126 |        127 |        128 |        127 |        127
    num misses                       |        120 |        119 |        120 |        119 |        119 |        120 |        121 |        120 |        120
    miss rate                        |     94.49% |     94.44% |     94.49% |     94.44% |     94.44% |     94.49% |     94.53% |     94.49% |     94.49%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15299 |      15290 |      15306 |      15291 |      15278 |      15331 |      15334 |      15322 |      15294
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40179 |      40141 |      40181 |      40147 |      40115 |      40245 |      40209 |      40218 |      40157
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
