                                     | Core 0    
  Instructions                       |   40121728
  Cycles                             |   20462050
  IPC                                |       1.96
  Time (ns)                          |    7692500
  Idle time (ns)                     |        -80
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   10022008
  num incorrect                      |       1517
  misprediction rate                 |      0.02%
  mpki                               |       0.04
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      15334
    num misses                       |         52
    miss rate                        |      0.34%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |      40256
    num misses                       |         76
    miss rate                        |      0.19%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        128
    num misses                       |        121
    miss rate                        |     94.53%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      15334
    num cache misses                 |        873
    miss rate                        |      5.69%
    mpki                             |       0.02
  Cache L1-D                         |           
    num cache accesses               |      40256
    num cache misses                 |       1801
    miss rate                        |      4.47%
    mpki                             |       0.04
  Cache L2                           |           
    num cache accesses               |       2713
    num cache misses                 |       2478
    miss rate                        |     91.34%
    mpki                             |       0.06
  Cache L3                           |           
    num cache accesses               |       2519
    num cache misses                 |       2477
    miss rate                        |     98.33%
    mpki                             |       0.06
DRAM summary                         |           
  num dram accesses                  |       2477
  average dram access latency (ns)   |      55.39
  average dram queueing delay        |       1.96
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |       1119
  num loads from dram cache          |          0
  num loads from remote cache        |          0
