                                     | Core 0     | Core 1    
  Instructions                       |   40121650 |   40121367
  Cycles                             |   30644530 |   30644530
  IPC                                |       1.31 |       1.31
  Time (ns)                          |   11520500 |   11520500
  Idle time (ns)                     |       -912 |       -912
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   10022008 |   10021980
  num incorrect                      |       1517 |       1487
  misprediction rate                 |      0.02% |      0.01%
  mpki                               |       0.04 |       0.04
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15334 |      15283
    num misses                       |         52 |         50
    miss rate                        |      0.34% |      0.33%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |      40218 |      40078
    num misses                       |         76 |         76
    miss rate                        |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        128 |        126
    num misses                       |        121 |        119
    miss rate                        |     94.53% |     94.44%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15334 |      15283
    num cache misses                 |        960 |        948
    miss rate                        |      6.26% |      6.20%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |      40218 |      40078
    num cache misses                 |       1952 |       1951
    miss rate                        |      4.85% |      4.87%
    mpki                             |       0.05 |       0.05
  Cache L2                           |            |           
    num cache accesses               |       2951 |       2937
    num cache misses                 |       2551 |       2513
    miss rate                        |     86.45% |     85.56%
    mpki                             |       0.06 |       0.06
  Cache L3                           |            |           
    num cache accesses               |       2591 |       2552
    num cache misses                 |       2477 |       2445
    miss rate                        |     95.60% |     95.81%
    mpki                             |       0.06 |       0.06
DRAM summary                         |            |           
  num dram accesses                  |       4922 |          0
  average dram access latency (ns)   |      65.67 |        inf
  average dram queueing delay        |      12.24 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1120 |       1116
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
