                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   40120888 |   40121626 |   40103105 |   40121311
  Cycles                             |   53990552 |   53990552 |   53990552 |   53990552
  IPC                                |       0.74 |       0.74 |       0.74 |       0.74
  Time (ns)                          |   20297200 |   20297200 |   20297200 |   20297200
  Idle time (ns)                     |        -48 |        -95 |        -95 |        -72
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10021927 |   10022008 |   10017524 |   10021971
  num incorrect                      |       1454 |       1517 |       1441 |       1484
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15190 |      15334 |      15165 |      15273
    num misses                       |         49 |         52 |         48 |         50
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      39881 |      40202 |      39839 |      40102
    num misses                       |         75 |         76 |         75 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        124 |        128 |        123 |        126
    num misses                       |        117 |        121 |        116 |        119
    miss rate                        |     94.35% |     94.53% |     94.31% |     94.44%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15190 |      15334 |      15165 |      15273
    num cache misses                 |       1540 |       1627 |       1418 |       1605
    miss rate                        |     10.14% |     10.61% |      9.35% |     10.51%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      39881 |      40202 |      39839 |      40102
    num cache misses                 |       2797 |       2862 |       2705 |       2851
    miss rate                        |      7.01% |      7.12% |      6.79% |      7.11%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07
  Cache L2                           |            |            |            |           
    num cache accesses               |       4372 |       4525 |       4159 |       4493
    num cache misses                 |       2722 |       2786 |       2704 |       2764
    miss rate                        |     62.26% |     61.57% |     65.02% |     61.52%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |           
    num cache accesses               |       2759 |       2825 |       2741 |       2802
    num cache misses                 |       2427 |       2477 |       2411 |       2444
    miss rate                        |     87.97% |     87.68% |     87.96% |     87.22%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9759 |          0 |          0 |          0
  average dram access latency (ns)   |      69.28 |        inf |        inf |        inf
  average dram queueing delay        |      15.85 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1122 |       1131 |       1123 |       1124
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
