                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   40121658 |   40121556 |   40121551 |   40121499 |   40121573 |   40121558 |   40121405 |   40121363 |   40121356 |   40121247 |   40121233 |   40121233 |   40121225 |   40121154 |   40121154 |   40121129
  Cycles                             |  213895920 |  213895920 |  213895920 |  213895920 |  213895920 |  213895920 |  213895920 |  213895920 |  213895920 |  213895920 |  213895920 |  213895920 |  213895920 |  213895920 |  213895920 |  213895920
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   80412000 |   80412000 |   80412000 |   80412000 |   80412000 |   80412000 |   80412000 |   80412000 |   80412000 |   80412000 |   80412000 |   80412000 |   80412000 |   80412000 |   80412000 |   80412000
  Idle time (ns)                     |        -54 |        104 |         88 |        138 |         61 |         17 |        140 |         14 |         14 |        104 |         81 |         41 |        -54 |         61 |         17 |        -16
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022008 |   10022001 |   10022001 |   10021997 |   10022004 |   10022001 |   10021985 |   10021980 |   10021980 |   10021965 |   10021964 |   10021965 |   10021962 |   10021955 |   10021955 |   10021951
  num incorrect                      |       1517 |       1510 |       1510 |       1503 |       1512 |       1511 |       1496 |       1488 |       1487 |       1478 |       1476 |       1476 |       1474 |       1472 |       1472 |       1472
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.01% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15334 |      15324 |      15324 |      15313 |      15326 |      15324 |      15291 |      15283 |      15281 |      15259 |      15256 |      15256 |      15252 |      15245 |      15245 |      15243
    num misses                       |         52 |         51 |         51 |         51 |         51 |         51 |         50 |         50 |         50 |         50 |         50 |         50 |         49 |         49 |         49 |         49
    miss rate                        |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
