                                     | Core 0     | Core 1    
  Instructions                       |   40121660 |   40121484
  Cycles                             |   26752152 |   26752152
  IPC                                |       1.50 |       1.50
  Time (ns)                          |   10057200 |   10057200
  Idle time (ns)                     |       -120 |        -85
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   10022008 |   10021992
  num incorrect                      |       1517 |       1501
  misprediction rate                 |      0.02% |      0.01%
  mpki                               |       0.04 |       0.04
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15334 |      15306
    num misses                       |         52 |         51
    miss rate                        |      0.34% |      0.33%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |      40226 |      40186
    num misses                       |         76 |         76
    miss rate                        |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        128 |        127
    num misses                       |        121 |        120
    miss rate                        |     94.53% |     94.49%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15334 |      15306
    num cache misses                 |          0 |          0
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |      40226 |      40186
    num cache misses                 |          0 |          0
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L2                           |            |           
    num cache accesses               |          0 |          0
    num cache misses                 |          0 |          0
    miss rate                        |       inf% |       inf%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |          0 |          0
    num cache misses                 |          0 |          0
    miss rate                        |       inf% |       inf%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |          0 |          0
  average dram access latency (ns)   |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          0 |          0
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
