                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   40121631 |   40121480 |   40121402 |   40121301 |   40121225
  Cycles                             |   66846066 |   66846066 |   66846066 |   66846066 |   66846066
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |   25130100 |   25130100 |   25130100 |   25130100 |   25130100
  Idle time (ns)                     |        -56 |        -14 |        -56 |         -1 |        -14
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022008 |   10021991 |   10021985 |   10021970 |   10021964
  num incorrect                      |       1517 |       1501 |       1496 |       1482 |       1476
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15334 |      15306 |      15291 |      15270 |      15256
    num misses                       |         52 |         51 |         50 |         50 |         50
    miss rate                        |      0.34% |      0.33% |      0.33% |      0.33% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40205 |      40181 |      40146 |      40097 |      40056
    num misses                       |         76 |         76 |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        128 |        127 |        126 |        126 |        126
    num misses                       |        121 |        120 |        119 |        119 |        119
    miss rate                        |     94.53% |     94.49% |     94.44% |     94.44% |     94.44%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15334 |      15306 |      15291 |      15270 |      15256
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40205 |      40181 |      40146 |      40097 |      40056
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
