                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   40072645 |   40065800 |   40065033 |   40068256 |   40112276 |   40121666 |   40070428 |   40080913 |   40064007 |   40066044 |   40101548 |   40062105 |   40063727 |   40062361 |   40062173 |   40088925
  Cycles                             |  214383232 |  214383232 |  214383232 |  214383232 |  214383232 |  214383232 |  214383232 |  214383232 |  214383232 |  214383232 |  214383232 |  214383232 |  214383232 |  214383232 |  214383232 |  214383232
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   80595200 |   80595200 |   80595200 |   80595200 |   80595200 |   80595200 |   80595200 |   80595200 |   80595200 |   80595200 |   80595200 |   80595200 |   80595200 |   80595200 |   80595200 |   80595200
  Idle time (ns)                     |        179 |         59 |         -0 |        178 |        172 |        -33 |        -33 |        179 |         -0 |        153 |        125 |         55 |        101 |         55 |         26 |        153
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10009903 |   10008191 |   10008000 |   10008806 |   10019810 |   10022008 |   10009348 |   10011970 |   10007743 |   10008252 |   10017129 |   10007267 |   10007673 |   10007331 |   10007284 |   10013972
  num incorrect                      |       1441 |       1441 |       1441 |       1441 |       1441 |       1517 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
