                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   40121541 |   40121442 |   40121421 |   40121384 |   40121331 |   40121114 |   40121398 |   40121708 |   40121637 |   40121621
  Cycles                             |  133697452 |  133697452 |  133697452 |  133697452 |  133697452 |  133697452 |  133697452 |  133697452 |  133697452 |  133697452
  IPC                                |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Time (ns)                          |   50262200 |   50262200 |   50262200 |   50262200 |   50262200 |   50262200 |   50262200 |   50262200 |   50262200 |   50262200
  Idle time (ns)                     |         18 |         18 |         14 |         12 |         -4 |         68 |        -42 |        -42 |        -10 |         -6
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021994 |   10021981 |   10021980 |   10021975 |   10021968 |   10021944 |   10021979 |   10022006 |   10022004 |   10022003
  num incorrect                      |       1504 |       1496 |       1494 |       1487 |       1482 |       1470 |       1488 |       1519 |       1519 |       1515
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   20015311 |   20015290 |   20015286 |   20015278 |   20015268 |   20015229 |   20015281 |   20015334 |   20015330 |   20015328
    num misses                       |         51 |         50 |         50 |         50 |         50 |         49 |         50 |         52 |         51 |         51
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40202 |      40149 |      40143 |      40122 |      40100 |      39998 |      40120 |      40234 |      40251 |      40245
    num misses                       |         74 |         74 |         74 |         74 |         74 |         73 |         74 |         74 |         74 |         74
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        125 |        124 |        124 |        124 |        124 |        122 |        124 |        126 |        125 |        125
    num misses                       |        121 |        120 |        120 |        120 |        120 |        118 |        120 |        122 |        121 |        121
    miss rate                        |     96.80% |     96.77% |     96.77% |     96.77% |     96.77% |     96.72% |     96.77% |     96.83% |     96.80% |     96.80%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   20015311 |   20015290 |   20015286 |   20015278 |   20015268 |   20015229 |   20015281 |   20015334 |   20015330 |   20015328
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40202 |      40149 |      40143 |      40122 |      40100 |      39998 |      40120 |      40234 |      40251 |      40245
