                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   40011807 |   40086809 |   40110941 |   40105812 |   40121695 |   40079341 |   40033381 |   40027529 |   39980564 |   39975940 |   39955632 |   39951482
  Cycles                             |  160790084 |  160790084 |  160790084 |  160790084 |  160790084 |  160790084 |  160790084 |  160790084 |  160790084 |  160790084 |  160790084 |  160790084
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |   60447400 |   60447400 |   60447400 |   60447400 |   60447400 |   60447400 |   60447400 |   60447400 |   60447400 |   60447400 |   60447400 |   60447400
  Idle time (ns)                     |          2 |        141 |        116 |         84 |        -15 |        116 |         84 |          2 |         57 |        -15 |        141 |        116
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    9994680 |   10013431 |   10019465 |   10018182 |   10022006 |   10011564 |   10000074 |    9998611 |    9986869 |    9985715 |    9980637 |    9979599
  num incorrect                      |       1442 |       1442 |       1442 |       1442 |       1519 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   19960707 |   19998209 |   20010277 |   20007711 |   20015334 |   19994476 |   19971496 |   19968569 |   19945085 |   19942776 |   19932621 |   19930545
    num misses                       |         48 |         48 |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39847 |      39847 |      39847 |      39847 |      40224 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num misses                       |         73 |         73 |         73 |         73 |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        121 |        121 |        121 |        121 |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        117 |        117 |        117 |        117 |        122 |        117 |        117 |        117 |        117 |        117 |        117 |        117
    miss rate                        |     96.69% |     96.69% |     96.69% |     96.69% |     96.83% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   19960707 |   19998209 |   20010277 |   20007711 |   20015334 |   19994476 |   19971496 |   19968569 |   19945085 |   19942776 |   19932621 |   19930545
    num cache misses                 |     673931 |     669525 |     665627 |     662351 |     658646 |     657413 |     656332 |     654947 |     655082 |     654881 |     654602 |     654340
    miss rate                        |      3.38% |      3.35% |      3.33% |      3.31% |      3.29% |      3.29% |      3.29% |      3.28% |      3.28% |      3.28% |      3.28% |      3.28%
    mpki                             |      16.84 |      16.70 |      16.59 |      16.52 |      16.42 |      16.40 |      16.39 |      16.36 |      16.39 |      16.38 |      16.38 |      16.38
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39847 |      39847 |      39847 |      39847 |      40224 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num cache misses                 |       8513 |       8449 |       8548 |       8562 |       7457 |       7829 |       8051 |       7679 |       8383 |       8363 |       8446 |       8464
    miss rate                        |     21.36% |     21.20% |     21.45% |     21.49% |     18.54% |     19.65% |     20.20% |     19.27% |     21.04% |     20.99% |     21.20% |     21.24%
    mpki                             |       0.21 |       0.21 |       0.21 |       0.21 |       0.19 |       0.20 |       0.20 |       0.19 |       0.21 |       0.21 |       0.21 |       0.21
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     682473 |     678003 |     674204 |     670942 |     666134 |     665271 |     664412 |     662655 |     663494 |     663272 |     663077 |     662832
    num cache misses                 |     675444 |     673446 |     670465 |     667641 |     663756 |     662856 |     662032 |     660320 |     660470 |     659982 |     659712 |     659640
    miss rate                        |     98.97% |     99.33% |     99.45% |     99.51% |     99.64% |     99.64% |     99.64% |     99.65% |     99.54% |     99.50% |     99.49% |     99.52%
    mpki                             |      16.88 |      16.80 |      16.72 |      16.65 |      16.54 |      16.54 |      16.54 |      16.50 |      16.52 |      16.51 |      16.51 |      16.51
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     675475 |     673478 |     670494 |     667672 |     663791 |     662887 |     662061 |     660351 |     660499 |     660011 |     659741 |     659671
    num cache misses                 |       2415 |       2415 |       2415 |       2415 |       2489 |       2415 |       2416 |       2415 |       2415 |       2415 |       2416 |       2415
    miss rate                        |      0.36% |      0.36% |      0.36% |      0.36% |      0.37% |      0.36% |      0.36% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      29061 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      87.24 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
