                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   40116831 |   40121747 |   40119246 |   40047299 |   40017605 |   40017352 |   39991625 |   39985952 |   39998767 |   40016543 |   39981581 |   39983429 |   39983762 |   39999025 |   40021496 |   40022982
  Cycles                             |  214179210 |  214179210 |  214179210 |  214179210 |  214179210 |  214179210 |  214179210 |  214179210 |  214179210 |  214179210 |  214179210 |  214179210 |  214179210 |  214179210 |  214179210 |  214179210
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   80518500 |   80518500 |   80518500 |   80518500 |   80518500 |   80518500 |   80518500 |   80518500 |   80518500 |   80518500 |   80518500 |   80518500 |   80518500 |   80518500 |   80518500 |   80518500
  Idle time (ns)                     |        130 |        -15 |        124 |         67 |        108 |         25 |         67 |        202 |        174 |        138 |         71 |         43 |         17 |        -15 |        202 |        172
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10020936 |   10022006 |   10021540 |   10003553 |    9996130 |    9996067 |    9989634 |    9988216 |    9991420 |    9995864 |    9987124 |    9987586 |    9987669 |    9991485 |    9997102 |    9997474
  num incorrect                      |       1442 |       1519 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   20013219 |   20015334 |   20014426 |   19978453 |   19963607 |   19963480 |   19950616 |   19947779 |   19954187 |   19963075 |   19945594 |   19946518 |   19946685 |   19954316 |   19965552 |   19966295
    num misses                       |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39847 |      40247 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num misses                       |         73 |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        121 |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        117 |        122 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117
    miss rate                        |     96.69% |     96.83% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   20013219 |   20015334 |   20014426 |   19978453 |   19963607 |   19963480 |   19950616 |   19947779 |   19954187 |   19963075 |   19945594 |   19946518 |   19946685 |   19954316 |   19965552 |   19966295
    num cache misses                 |     675548 |     670387 |     664828 |     661871 |     659712 |     658508 |     657675 |     657010 |     656632 |     655351 |     656427 |     656319 |     655843 |     656099 |     655848 |     655952
    miss rate                        |      3.38% |      3.35% |      3.32% |      3.31% |      3.30% |      3.30% |      3.30% |      3.29% |      3.29% |      3.28% |      3.29% |      3.29% |      3.29% |      3.29% |      3.28% |      3.29%
    mpki                             |      16.84 |      16.71 |      16.57 |      16.53 |      16.49 |      16.46 |      16.45 |      16.43 |      16.42 |      16.38 |      16.42 |      16.41 |      16.40 |      16.40 |      16.39 |      16.39
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39847 |      40247 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num cache misses                 |       9880 |      10572 |       9249 |      10337 |      10396 |      10316 |      10486 |      10143 |       9782 |       8712 |      10548 |      10556 |       9988 |      10384 |       9647 |      10328
    miss rate                        |     24.79% |     26.27% |     23.21% |     25.94% |     26.09% |     25.89% |     26.32% |     25.45% |     24.55% |     21.86% |     26.47% |     26.49% |     25.07% |     26.06% |     24.21% |     25.92%
    mpki                             |       0.25 |       0.26 |       0.23 |       0.26 |       0.26 |       0.26 |       0.26 |       0.25 |       0.24 |       0.22 |       0.26 |       0.26 |       0.25 |       0.26 |       0.24 |       0.26
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     685459 |     680989 |     674107 |     672235 |     670136 |     668853 |     668190 |     667180 |     666443 |     664096 |     667004 |     666903 |     665860 |     666512 |     665524 |     666307
    num cache misses                 |     682085 |     678670 |     671116 |     669937 |     667971 |     666225 |     665968 |     664766 |     663580 |     661553 |     664856 |     664829 |     663609 |     664232 |     662691 |     663997
    miss rate                        |     99.51% |     99.66% |     99.56% |     99.66% |     99.68% |     99.61% |     99.67% |     99.64% |     99.57% |     99.62% |     99.68% |     99.69% |     99.66% |     99.66% |     99.57% |     99.65%
    mpki                             |      17.00 |      16.92 |      16.73 |      16.73 |      16.69 |      16.65 |      16.65 |      16.62 |      16.59 |      16.53 |      16.63 |      16.63 |      16.60 |      16.61 |      16.56 |      16.59
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     682116 |     678701 |     671147 |     669966 |     668000 |     666254 |     665997 |     664795 |     663611 |     661586 |     664885 |     664858 |     663638 |     664261 |     662722 |     664026
    num cache misses                 |       2417 |       2491 |       2416 |       2419 |       2423 |       2420 |       2422 |       2422 |       2417 |       2416 |       2420 |       2422 |       2421 |       2419 |       2418 |       2423
    miss rate                        |      0.35% |      0.37% |      0.36% |      0.36% |      0.36% |      0.36% |      0.36% |      0.36% |      0.36% |      0.37% |      0.36% |      0.36% |      0.36% |      0.36% |      0.36% |      0.36%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      38797 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      96.80 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      43.37 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1169 |       1176 |       1168 |       1175 |       1176 |       1172 |       1175 |       1176 |       1165 |       1160 |       1177 |       1170 |       1177 |       1176 |       1164 |       1175
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
