                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   39549716 |   39548184 |   39546336 |   39536993 |   39536001 |   40121679 |   40117687
  Cycles                             |   93168362 |   93168362 |   93168362 |   93168362 |   93168362 |   93168362 |   93168362
  IPC                                |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.43 |       0.43
  Time (ns)                          |   35025700 |   35025700 |   35025700 |   35025700 |   35025700 |   35025700 |   35025700
  Idle time (ns)                     |         18 |         -2 |         40 |        -23 |         24 |        -23 |         -2
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |    9879158 |    9878774 |    9878314 |    9875978 |    9875732 |   10022006 |   10021150
  num incorrect                      |       1442 |       1442 |       1442 |       1442 |       1442 |       1519 |       1442
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   19729663 |   19728895 |   19727974 |   19723303 |   19722811 |   20015334 |   20013648
    num misses                       |         48 |         48 |         48 |         48 |         48 |         52 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      39847 |      39847 |      39847 |      39847 |      39847 |      40213 |      39847
    num misses                       |         73 |         73 |         73 |         73 |         73 |         74 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        121 |        121 |        121 |        121 |        121 |        126 |        121
    num misses                       |        117 |        117 |        117 |        117 |        117 |        122 |        117
    miss rate                        |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.83% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |   19729663 |   19728895 |   19727974 |   19723303 |   19722811 |   20015334 |   20013648
    num cache misses                 |     651728 |     651502 |     651368 |     650327 |     650426 |     650790 |     650855
    miss rate                        |      3.30% |      3.30% |      3.30% |      3.30% |      3.30% |      3.25% |      3.25%
    mpki                             |      16.48 |      16.47 |      16.47 |      16.45 |      16.45 |      16.22 |      16.22
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |      39847 |      39847 |      39847 |      39847 |      39847 |      40213 |      39847
    num cache misses                 |       4597 |       4587 |       4575 |       4206 |       4288 |       4448 |       4436
    miss rate                        |     11.54% |     11.51% |     11.48% |     10.56% |     10.76% |     11.06% |     11.13%
    mpki                             |       0.12 |       0.12 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |     656357 |     656121 |     655974 |     654564 |     654745 |     655272 |     655323
    num cache misses                 |       3484 |       3500 |       3505 |       3422 |       3451 |       3589 |       3460
    miss rate                        |      0.53% |      0.53% |      0.53% |      0.52% |      0.53% |      0.55% |      0.53%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |       3520 |       3536 |       3541 |       3458 |       3487 |       3627 |       3496
    num cache misses                 |       2414 |       2414 |       2414 |       2414 |       2414 |       2481 |       2414
    miss rate                        |     68.58% |     68.27% |     68.17% |     69.81% |     69.23% |     68.40% |     69.05%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      16965 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      75.79 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      22.36 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1136 |       1139 |       1136 |       1139 |       1137 |       1147 |       1138
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
