                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   39500413 |   39486644 |   40121706 |   40120879 |   39481839 |   40121321 |   39484753 |   40121577
  Cycles                             |  106677172 |  106677172 |  106677172 |  106677172 |  106677172 |  106677172 |  106677172 |  106677172
  IPC                                |       0.37 |       0.37 |       0.38 |       0.38 |       0.37 |       0.38 |       0.37 |       0.38
  Time (ns)                          |   40104200 |   40104200 |   40104200 |   40104200 |   40104200 |   40104200 |   40104200 |   40104200
  Idle time (ns)                     |        -83 |        -39 |        -95 |        700 |        -83 |        594 |        -95 |        527
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    9866832 |    9863392 |   10022006 |   10021918 |    9862189 |   10021966 |    9862918 |   10021997
  num incorrect                      |       1442 |       1442 |       1519 |       1452 |       1442 |       1480 |       1442 |       1509
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   19705011 |   19698131 |   20015334 |   20015186 |   19695725 |   20015263 |   19697184 |   20015319
    num misses                       |         48 |         48 |         52 |         49 |         48 |         50 |         48 |         51
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      39847 |      39847 |      40229 |      39907 |      39847 |      40076 |      39847 |      40215
    num misses                       |         73 |         73 |         74 |         73 |         73 |         74 |         73 |         74
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        121 |        121 |        126 |        122 |        121 |        124 |        121 |        125
    num misses                       |        117 |        117 |        122 |        118 |        117 |        120 |        117 |        121
    miss rate                        |     96.69% |     96.69% |     96.83% |     96.72% |     96.69% |     96.77% |     96.69% |     96.80%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   19705011 |   19698131 |   20015334 |   20015186 |   19695725 |   20015263 |   19697184 |   20015319
    num cache misses                 |     650639 |     651404 |     651528 |     651154 |     650988 |     651208 |     651146 |     651412
    miss rate                        |      3.30% |      3.31% |      3.26% |      3.25% |      3.31% |      3.25% |      3.31% |      3.25%
    mpki                             |      16.47 |      16.50 |      16.24 |      16.23 |      16.49 |      16.23 |      16.49 |      16.24
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      39847 |      39847 |      40229 |      39907 |      39847 |      40076 |      39847 |      40215
    num cache misses                 |       4847 |       5283 |       5375 |       5162 |       5115 |       5216 |       5192 |       5316
    miss rate                        |     12.16% |     13.26% |     13.36% |     12.94% |     12.84% |     13.02% |     13.03% |     13.22%
    mpki                             |       0.12 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     655518 |     656719 |     656937 |     656349 |     656134 |     656456 |     656370 |     656762
    num cache misses                 |       3696 |       3814 |       3922 |       3797 |       3774 |       3839 |       3812 |       3915
    miss rate                        |      0.56% |      0.58% |      0.60% |      0.58% |      0.58% |      0.58% |      0.58% |      0.60%
    mpki                             |       0.09 |       0.10 |       0.10 |       0.09 |       0.10 |       0.10 |       0.10 |       0.10
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3732 |       3850 |       3960 |       3834 |       3809 |       3876 |       3848 |       3953
    num cache misses                 |       2414 |       2414 |       2481 |       2428 |       2414 |       2446 |       2414 |       2470
    miss rate                        |     64.68% |     62.70% |     62.65% |     63.33% |     63.38% |     63.11% |     62.73% |     62.48%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19481 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      78.86 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      25.43 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1136 |       1142 |       1146 |       1136 |       1142 |       1142 |       1142 |       1147
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
