                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   40121695 |   38898409 |   38005980 |   37547288 |   37458596 |   37460377 |   37455649 |   37465823 |   37449572
  Cycles                             |  114571520 |  114571520 |  114571520 |  114571520 |  114571520 |  114571520 |  114571520 |  114571520 |  114571520
  IPC                                |       0.35 |       0.34 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33
  Time (ns)                          |   43072000 |   43072000 |   43072000 |   43072000 |   43072000 |   43072000 |   43072000 |   43072000 |   43072000
  Idle time (ns)                     |         -6 |         21 |         -6 |         85 |         48 |         34 |        109 |         80 |         92
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   10022006 |    9716331 |    9493223 |    9378551 |    9356378 |    9356824 |    9355642 |    9358185 |    9354124
  num incorrect                      |       1519 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442
  misprediction rate                 |      0.02% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   20015334 |   19404008 |   18957794 |   18728448 |   18684104 |   18684995 |   18682630 |   18687716 |   18679594
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      40224 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num misses                       |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        122 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117
    miss rate                        |     96.83% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |   20015334 |   19404008 |   18957794 |   18728448 |   18684104 |   18684995 |   18682630 |   18687716 |   18679594
    num cache misses                 |     690722 |     654676 |     628692 |     615055 |     613133 |     612314 |     612803 |     613026 |     612409
    miss rate                        |      3.45% |      3.37% |      3.32% |      3.28% |      3.28% |      3.28% |      3.28% |      3.28% |      3.28%
    mpki                             |      17.22 |      16.83 |      16.54 |      16.38 |      16.37 |      16.35 |      16.36 |      16.36 |      16.35
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40224 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num cache misses                 |       5480 |       5848 |       6070 |       5816 |       6160 |       5880 |       6065 |       6125 |       5933
    miss rate                        |     13.62% |     14.68% |     15.23% |     14.60% |     15.46% |     14.76% |     15.22% |     15.37% |     14.89%
    mpki                             |       0.14 |       0.15 |       0.16 |       0.15 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     696235 |     660554 |     634791 |     620900 |     619325 |     618225 |     618899 |     619180 |     618373
    num cache misses                 |     306303 |     444066 |     546864 |     600216 |     610101 |     610521 |     609903 |     608221 |     609905
    miss rate                        |     43.99% |     67.23% |     86.15% |     96.67% |     98.51% |     98.75% |     98.55% |     98.23% |     98.63%
    mpki                             |       7.63 |      11.42 |      14.39 |      15.99 |      16.29 |      16.30 |      16.28 |      16.23 |      16.29
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     306337 |     444097 |     546897 |     600249 |     610135 |     610552 |     609937 |     608255 |     609938
    num cache misses                 |       2489 |       2414 |       2415 |       2415 |       2415 |       2415 |       2415 |       2415 |       2415
    miss rate                        |      0.81% |      0.54% |      0.44% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      21808 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      79.51 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      26.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1155 |       1151 |       1153 |       1155 |       1158 |       1152 |       1151 |       1159 |       1151
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
