                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   40121695 |   38930697 |   38040936 |   37594024 |   37503161 |   37498216 |   37487588 |   37497462 |   37519989
  Cycles                             |  114674196 |  114674196 |  114674196 |  114674196 |  114674196 |  114674196 |  114674196 |  114674196 |  114674196
  IPC                                |       0.35 |       0.34 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33
  Time (ns)                          |   43110600 |   43110600 |   43110600 |   43110600 |   43110600 |   43110600 |   43110600 |   43110600 |   43110600
  Idle time (ns)                     |        -30 |         50 |         32 |         24 |         11 |         -1 |         -7 |        -30 |         85
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   10022006 |    9724402 |    9501962 |    9390235 |    9367519 |    9366283 |    9363626 |    9366094 |    9371728
  num incorrect                      |       1519 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442
  misprediction rate                 |      0.02% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   20015334 |   19420152 |   18975272 |   18751816 |   18706385 |   18703913 |   18698598 |   18703535 |   18714803
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      40224 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num misses                       |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        122 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117
    miss rate                        |     96.83% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |   20015334 |   19420152 |   18975272 |   18751816 |   18706385 |   18703913 |   18698598 |   18703535 |   18714803
    num cache misses                 |     691111 |     655471 |     628966 |     615855 |     613403 |     613152 |     612533 |     611985 |     612456
    miss rate                        |      3.45% |      3.38% |      3.31% |      3.28% |      3.28% |      3.28% |      3.28% |      3.27% |      3.27%
    mpki                             |      17.23 |      16.84 |      16.53 |      16.38 |      16.36 |      16.35 |      16.34 |      16.32 |      16.32
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40224 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num cache misses                 |       5617 |       5929 |       5892 |       5901 |       5966 |       5857 |       5632 |       5283 |       5474
    miss rate                        |     13.96% |     14.88% |     14.79% |     14.81% |     14.97% |     14.70% |     14.13% |     13.26% |     13.74%
    mpki                             |       0.14 |       0.15 |       0.15 |       0.16 |       0.16 |       0.16 |       0.15 |       0.14 |       0.15
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     696759 |     661430 |     634889 |     621787 |     619398 |     619040 |     618194 |     617299 |     617960
    num cache misses                 |     307337 |     443856 |     547394 |     599726 |     609949 |     610566 |     610471 |     608445 |     609383
    miss rate                        |     44.11% |     67.11% |     86.22% |     96.45% |     98.47% |     98.63% |     98.75% |     98.57% |     98.61%
    mpki                             |       7.66 |      11.40 |      14.39 |      15.95 |      16.26 |      16.28 |      16.28 |      16.23 |      16.24
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     307371 |     443888 |     547427 |     599760 |     609980 |     610599 |     610503 |     608478 |     609415
    num cache misses                 |       2482 |       2415 |       2415 |       2414 |       2414 |       2415 |       2415 |       2415 |       2414
    miss rate                        |      0.81% |      0.54% |      0.44% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
