                                     | Core 0    
  Instructions                       |   40121776
  Cycles                             |   15312556
  IPC                                |       2.62
  Time (ns)                          |    5756600
  Idle time (ns)                     |        -31
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   10022006
  num incorrect                      |       1519
  misprediction rate                 |      0.02%
  mpki                               |       0.04
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   20015334
    num misses                       |         52
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |      40264
    num misses                       |         74
    miss rate                        |      0.18%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        126
    num misses                       |        122
    miss rate                        |     96.83%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   20015334
    num cache misses                 |        881
    miss rate                        |      0.00%
    mpki                             |       0.02
  Cache L1-D                         |           
    num cache accesses               |      40264
    num cache misses                 |       1803
    miss rate                        |      4.48%
    mpki                             |       0.04
  Cache L2                           |           
    num cache accesses               |       2728
    num cache misses                 |       2481
    miss rate                        |     90.95%
    mpki                             |       0.06
  Cache L3                           |           
    num cache accesses               |       2527
    num cache misses                 |       2481
    miss rate                        |     98.18%
    mpki                             |       0.06
DRAM summary                         |           
  num dram accesses                  |       2481
  average dram access latency (ns)   |      57.11
  average dram queueing delay        |       3.68
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |       1124
  num loads from dram cache          |          0
  num loads from remote cache        |          0
