                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   40082431 |   40121714 |   40064897 |   39971340 |   39897869 |   39857449 |   39794216 |   39781296 |   39769116 |   39784610 |   39812713 |   39851752 |   39847616 |   39832921 |   39827288
  Cycles                             |  199964968 |  199964968 |  199964968 |  199964968 |  199964968 |  199964968 |  199964968 |  199964968 |  199964968 |  199964968 |  199964968 |  199964968 |  199964968 |  199964968 |  199964968
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |   75174800 |   75174800 |   75174800 |   75174800 |   75174800 |   75174800 |   75174800 |   75174800 |   75174800 |   75174800 |   75174800 |   75174800 |   75174800 |   75174800 |   75174800
  Idle time (ns)                     |        165 |         -5 |         77 |        165 |        139 |        115 |        101 |         95 |         77 |         -5 |         91 |         71 |         44 |         -6 |        130
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10012336 |   10022006 |   10007953 |    9984563 |    9966196 |    9956091 |    9940283 |    9937052 |    9934008 |    9937881 |    9944907 |    9954666 |    9953632 |    9949928 |    9948551
  num incorrect                      |       1442 |       1519 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   19996019 |   20015334 |   19987253 |   19940473 |   19903739 |   19883528 |   19851912 |   19845451 |   19839362 |   19847108 |   19861160 |   19880679 |   19878612 |   19871204 |   19868449
    num misses                       |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39847 |      40235 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num misses                       |         73 |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        121 |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        117 |        122 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117
    miss rate                        |     96.69% |     96.83% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   19996019 |   20015334 |   19987253 |   19940473 |   19903739 |   19883528 |   19851912 |   19845451 |   19839362 |   19847108 |   19861160 |   19880679 |   19878612 |   19871204 |   19868449
    num cache misses                 |     674795 |     669973 |     664476 |     660844 |     658180 |     655497 |     654354 |     653527 |     653457 |     653633 |     653942 |     653948 |     653767 |     653293 |     652773
    miss rate                        |      3.37% |      3.35% |      3.32% |      3.31% |      3.31% |      3.30% |      3.30% |      3.29% |      3.29% |      3.29% |      3.29% |      3.29% |      3.29% |      3.29% |      3.29%
    mpki                             |      16.84 |      16.70 |      16.58 |      16.53 |      16.50 |      16.45 |      16.44 |      16.43 |      16.43 |      16.43 |      16.43 |      16.41 |      16.41 |      16.40 |      16.39
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39847 |      40235 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num cache misses                 |       8697 |       8691 |       8880 |       9475 |       9917 |       8878 |       9583 |       9500 |       9887 |       9723 |       9965 |       9525 |       9760 |       9967 |       9977
    miss rate                        |     21.83% |     21.60% |     22.29% |     23.78% |     24.89% |     22.28% |     24.05% |     23.84% |     24.81% |     24.40% |     25.01% |     23.90% |     24.49% |     25.01% |     25.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.24 |       0.25 |       0.22 |       0.24 |       0.24 |       0.25 |       0.24 |       0.25 |       0.24 |       0.24 |       0.25 |       0.25
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     683520 |     678696 |     673386 |     670349 |     668126 |     664405 |     663966 |     663057 |     663374 |     663388 |     663936 |     663503 |     663556 |     663289 |     662779
    num cache misses                 |     678284 |     674760 |     669999 |     667291 |     665052 |     661531 |     661220 |     660445 |     660483 |     660404 |     660937 |     660699 |     660739 |     660289 |     659853
