                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   40120879 |   40121674 |   40121141 |   40097025
  Cycles                             |   53833878 |   53833878 |   53833878 |   53833878
  IPC                                |       0.75 |       0.75 |       0.75 |       0.74
  Time (ns)                          |   20238300 |   20238300 |   20238300 |   20238300
  Idle time (ns)                     |        -65 |       -101 |        -83 |       -101
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10021918 |   10022006 |   10021947 |   10015991
  num incorrect                      |       1452 |       1519 |       1471 |       1442
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20015186 |   20015334 |   20015232 |   20003330
    num misses                       |         49 |         52 |         49 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      39862 |      40210 |      40000 |      39847
    num misses                       |         73 |         74 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        122 |        126 |        122 |        121
    num misses                       |        118 |        122 |        118 |        117
    miss rate                        |     96.72% |     96.83% |     96.72% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20015186 |   20015334 |   20015232 |   20003330
    num cache misses                 |       1515 |       1600 |       1533 |       1377
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      39862 |      40210 |      40000 |      39847
    num cache misses                 |       2554 |       2613 |       2568 |       2504
    miss rate                        |      6.41% |      6.50% |      6.42% |      6.28%
    mpki                             |       0.06 |       0.07 |       0.06 |       0.06
  Cache L2                           |            |            |            |           
    num cache accesses               |       4106 |       4253 |       4138 |       3918
    num cache misses                 |       2721 |       2799 |       2746 |       2716
    miss rate                        |     66.27% |     65.81% |     66.36% |     69.32%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |           
    num cache accesses               |       2761 |       2842 |       2786 |       2756
    num cache misses                 |       2428 |       2481 |       2433 |       2414
    miss rate                        |     87.94% |     87.30% |     87.33% |     87.59%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9756 |          0 |          0 |          0
  average dram access latency (ns)   |      70.98 |        inf |        inf |        inf
  average dram queueing delay        |      17.55 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1125 |       1131 |       1122 |       1123
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
