                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   40121695 |   39466121 |   39460452 |   40106924 |   40101881 |   39451376
  Cycles                             |   79921296 |   79921296 |   79921296 |   79921296 |   79921296 |   79921296
  IPC                                |       0.50 |       0.49 |       0.49 |       0.50 |       0.50 |       0.49
  Time (ns)                          |   30045600 |   30045600 |   30045600 |   30045600 |   30045600 |   30045600
  Idle time (ns)                     |        -60 |        -60 |         -4 |        -45 |        -25 |         -4
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   10022006 |    9858259 |    9856842 |   10018460 |   10017202 |    9854575
  num incorrect                      |       1519 |       1442 |       1442 |       1442 |       1442 |       1442
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   20015334 |   19687865 |   19685030 |   20008268 |   20005751 |   19680498
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      40224 |      39847 |      39847 |      39847 |      39847 |      39847
    num misses                       |         74 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        126 |        121 |        121 |        121 |        121 |        121
    num misses                       |        122 |        117 |        117 |        117 |        117 |        117
    miss rate                        |     96.83% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   20015334 |   19687865 |   19685030 |   20008268 |   20005751 |   19680498
    num cache misses                 |     649115 |     649507 |     649596 |     649600 |     649600 |     649054
    miss rate                        |      3.24% |      3.30% |      3.30% |      3.25% |      3.25% |      3.30%
    mpki                             |      16.18 |      16.46 |      16.46 |      16.20 |      16.20 |      16.45
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      40224 |      39847 |      39847 |      39847 |      39847 |      39847
    num cache misses                 |       3754 |       3858 |       3953 |       3889 |       3937 |       3699
    miss rate                        |      9.33% |      9.68% |      9.92% |      9.76% |      9.88% |      9.28%
    mpki                             |       0.09 |       0.10 |       0.10 |       0.10 |       0.10 |       0.09
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     652904 |     653399 |     653582 |     653522 |     653570 |     652785
    num cache misses                 |       3316 |       3253 |       3247 |       3230 |       3239 |       3212
    miss rate                        |      0.51% |      0.50% |      0.50% |      0.49% |      0.50% |      0.49%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3355 |       3291 |       3284 |       3267 |       3276 |       3249
    num cache misses                 |       2481 |       2414 |       2414 |       2414 |       2414 |       2414
    miss rate                        |     73.95% |     73.35% |     73.51% |     73.89% |     73.69% |     74.30%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14551 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      75.93 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      22.50 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1141 |       1135 |       1137 |       1137 |       1134 |       1133
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
