                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   40121714 |   38532116 |   37612114 |   37418745 |   37440513 |   37441944 |   37486173 |   37530565 |   37610161
  Cycles                             |  114119852 |  114119852 |  114119852 |  114119852 |  114119852 |  114119852 |  114119852 |  114119852 |  114119852
  IPC                                |       0.35 |       0.34 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33
  Time (ns)                          |   42902200 |   42902200 |   42902200 |   42902200 |   42902200 |   42902200 |   42902200 |   42902200 |   42902200
  Idle time (ns)                     |        -44 |         12 |        -12 |         12 |        -12 |        -22 |        -44 |         40 |         20
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   10022006 |    9624757 |    9394757 |    9346415 |    9351856 |    9352215 |    9363272 |    9374370 |    9394269
  num incorrect                      |       1519 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442
  misprediction rate                 |      0.02% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   20015334 |   19220861 |   18760860 |   18664178 |   18675060 |   18675777 |   18697892 |   18720087 |   18759886
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      40235 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num misses                       |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        122 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117
    miss rate                        |     96.83% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |   20015334 |   19220861 |   18760860 |   18664178 |   18675060 |   18675777 |   18697892 |   18720087 |   18759886
    num cache misses                 |     682698 |     641278 |     617788 |     612305 |     611353 |     612578 |     613186 |     613446 |     614370
    miss rate                        |      3.41% |      3.34% |      3.29% |      3.28% |      3.27% |      3.28% |      3.28% |      3.28% |      3.27%
    mpki                             |      17.02 |      16.64 |      16.43 |      16.36 |      16.33 |      16.36 |      16.36 |      16.35 |      16.34
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40235 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num cache misses                 |       6103 |       6064 |       6103 |       5829 |       5563 |       6089 |       6056 |       5962 |       5876
    miss rate                        |     15.17% |     15.22% |     15.32% |     14.63% |     13.96% |     15.28% |     15.20% |     14.96% |     14.75%
    mpki                             |       0.15 |       0.16 |       0.16 |       0.16 |       0.15 |       0.16 |       0.16 |       0.16 |       0.16
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     688834 |     647373 |     623921 |     618166 |     616948 |     618697 |     619273 |     619438 |     620279
    num cache misses                 |     342917 |     503393 |     590920 |     608875 |     609986 |     608002 |     604708 |     601225 |     594540
    miss rate                        |     49.78% |     77.76% |     94.71% |     98.50% |     98.87% |     98.27% |     97.65% |     97.06% |     95.85%
    mpki                             |       8.55 |      13.06 |      15.71 |      16.27 |      16.29 |      16.24 |      16.13 |      16.02 |      15.81
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     342950 |     503426 |     590953 |     608909 |     610019 |     608032 |     604741 |     601259 |     594573
    num cache misses                 |       2483 |       2415 |       2415 |       2415 |       2414 |       2415 |       2414 |       2415 |       2414
    miss rate                        |      0.72% |      0.48% |      0.41% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.41%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      21800 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      85.07 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      31.64 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1155 |       1154 |       1152 |       1157 |       1157 |       1159 |       1149 |       1160 |       1148
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
