                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   12620908 |   12620938 |   12621608 |   12621657 |   12621542 |   12621309 |   12621302 |   12621410 |   12621233 |   12621242 |   12621180 |   12621000 |   12621018
  Cycles                             |   54634804 |   54634804 |   54634804 |   54634804 |   54634804 |   54634804 |   54634804 |   54634804 |   54634804 |   54634804 |   54634804 |   54634804 |   54634804
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |   20539400 |   20539400 |   20539400 |   20539400 |   20539400 |   20539400 |   20539400 |   20539400 |   20539400 |   20539400 |   20539400 |   20539400 |   20539400
  Idle time (ns)                     |         11 |        -17 |        -17 |        -35 |        102 |         64 |         64 |        124 |         55 |        -35 |         40 |        148 |          2
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2521928 |    2521929 |    2522007 |    2522009 |    2522000 |    2521971 |    2521970 |    2521985 |    2521965 |    2521960 |    2521959 |    2521935 |    2521936
  num incorrect                      |       1453 |       1455 |       1516 |       1516 |       1507 |       1481 |       1480 |       1495 |       1474 |       1473 |       1471 |       1466 |       1466
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15191 |      15196 |      15330 |      15333 |      15321 |      15269 |      15267 |      15290 |      15254 |      15250 |      15247 |      15213 |      15215
    num misses                       |         49 |         49 |         51 |         52 |         51 |         50 |         50 |         50 |         50 |         49 |         49 |         49 |         49
    miss rate                        |      0.32% |      0.32% |      0.33% |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32%
