                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   12603862 |   12621636 |   12598221 |   12601992 |   12593603 |   12593092 |   12590657 |   12591494 |   12593955 |   12598265 |   12591637
  Cycles                             |   46847388 |   46847388 |   46847388 |   46847388 |   46847388 |   46847388 |   46847388 |   46847388 |   46847388 |   46847388 |   46847388
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |   17611800 |   17611800 |   17611800 |   17611800 |   17611800 |   17611800 |   17611800 |   17611800 |   17611800 |   17611800 |   17611800
  Idle time (ns)                     |         26 |        -58 |         18 |        -58 |         13 |         94 |         -3 |         92 |         76 |        -27 |         49
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2518549 |    2522009 |    2517420 |    2518174 |    2516496 |    2516394 |    2515907 |    2516075 |    2516567 |    2517429 |    2516103
  num incorrect                      |       1440 |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.11 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39841 |      40204 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841
    num misses                       |         73 |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        121 |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        116 |        121 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     95.87% |     96.03% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       5818 |       5777 |       6239 |       5700 |       6495 |       6443 |       5954 |       6369 |       6261 |       6443 |       6279
    miss rate                        |     38.37% |     37.68% |     41.14% |     37.59% |     42.83% |     42.49% |     39.26% |     42.00% |     41.29% |     42.49% |     41.41%
    mpki                             |       0.46 |       0.46 |       0.50 |       0.45 |       0.52 |       0.51 |       0.47 |       0.51 |       0.50 |       0.51 |       0.50
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39841 |      40204 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841
    num cache misses                 |       7393 |       7321 |       7664 |       7403 |       7849 |       7774 |       7434 |       7701 |       7658 |       7724 |       7743
    miss rate                        |     18.56% |     18.21% |     19.24% |     18.58% |     19.70% |     19.51% |     18.66% |     19.33% |     19.22% |     19.39% |     19.43%
    mpki                             |       0.59 |       0.58 |       0.61 |       0.59 |       0.62 |       0.62 |       0.59 |       0.61 |       0.61 |       0.61 |       0.61
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13242 |      13130 |      13933 |      13133 |      14375 |      14247 |      13419 |      14100 |      13950 |      14197 |      14053
    num cache misses                 |      10889 |      10529 |      11053 |      10852 |      11411 |      11333 |      10614 |      11188 |      11055 |      11321 |      11240
    miss rate                        |     82.23% |     80.19% |     79.33% |     82.63% |     79.38% |     79.55% |     79.10% |     79.35% |     79.25% |     79.74% |     79.98%
    mpki                             |       0.86 |       0.83 |       0.88 |       0.86 |       0.91 |       0.90 |       0.84 |       0.89 |       0.88 |       0.90 |       0.89
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10922 |      10562 |      11085 |      10883 |      11442 |      11363 |      10647 |      11221 |      11088 |      11352 |      11273
    num cache misses                 |       2565 |       2623 |       2575 |       2570 |       2564 |       2568 |       2562 |       2569 |       2561 |       2560 |       2570
    miss rate                        |     23.48% |     24.83% |     23.23% |     23.61% |     22.41% |     22.60% |     24.06% |     22.89% |     23.10% |     22.55% |     22.80%
    mpki                             |       0.20 |       0.21 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      28488 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      82.55 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      29.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1287 |       1274 |       1294 |       1293 |       1281 |       1293 |       1289 |       1301 |       1292 |       1287 |       1298
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
