                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   12617592 |   12609932 |   12592509 |   12584882 |   12586092 |   12594405 |   12587777 |   12590497 |   12593657 |   12586470 |   12621688 |   12585760
  Cycles                             |   51054976 |   51054976 |   51054976 |   51054976 |   51054976 |   51054976 |   51054976 |   51054976 |   51054976 |   51054976 |   51054976 |   51054976
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |   19193600 |   19193600 |   19193600 |   19193600 |   19193600 |   19193600 |   19193600 |   19193600 |   19193600 |   19193600 |   19193600 |   19193600
  Idle time (ns)                     |         -5 |        -57 |         35 |        111 |        110 |         71 |        110 |        -21 |         66 |         20 |        -57 |         90
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2521294 |    2519762 |    2516278 |    2514752 |    2514994 |    2516657 |    2515331 |    2515875 |    2516507 |    2515070 |    2522009 |    2514928
  num incorrect                      |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1516 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.12 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15333 |      15164
    num misses                       |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         52 |         48
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      40234 |      39841
    num misses                       |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         74 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        126 |        121
    num misses                       |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        121 |        116
    miss rate                        |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     96.03% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15333 |      15164
    num cache misses                 |       5775 |       5562 |       6549 |       6866 |       6649 |       6583 |       6723 |       6694 |       6588 |       6771 |       5581 |       6345
