                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   12614679 |   12579754 |   12587121 |   12576572 |   12582427 |   12574580 |   12573322 |   12621668 |   12580356 |   12576345 |   12575994 |   12595193 |   12577545
  Cycles                             |   55218408 |   55218408 |   55218408 |   55218408 |   55218408 |   55218408 |   55218408 |   55218408 |   55218408 |   55218408 |   55218408 |   55218408 |   55218408
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |   20758800 |   20758800 |   20758800 |   20758800 |   20758800 |   20758800 |   20758800 |   20758800 |   20758800 |   20758800 |   20758800 |   20758800 |   20758800
  Idle time (ns)                     |          9 |        153 |        102 |         50 |         65 |          9 |          9 |        -24 |        150 |         50 |        -24 |        144 |         99
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2520711 |    2513726 |    2515200 |    2513091 |    2514262 |    2512692 |    2512440 |    2522009 |    2513847 |    2513045 |    2512974 |    2516814 |    2513284
  num incorrect                      |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1516 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      40223 |      39841 |      39841 |      39841 |      39841 |      39841
    num misses                       |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         74 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        126 |        121 |        121 |        121 |        121 |        121
    num misses                       |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        121 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     96.03% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164
