                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   12621636 |   12620171 |   12620770 |   12608172
  Cycles                             |   17329102 |   17329102 |   17329102 |   17329102
  IPC                                |       0.73 |       0.73 |       0.73 |       0.73
  Time (ns)                          |    6514700 |    6514700 |    6514700 |    6514700
  Idle time (ns)                     |        -89 |        -98 |        -49 |        -89
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    2522009 |    2521787 |    2521913 |    2519415
  num incorrect                      |       1516 |       1440 |       1449 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.12 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15333 |      15164 |      15180 |      15164
    num misses                       |         52 |         48 |         49 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      40204 |      39841 |      39843 |      39841
    num misses                       |         74 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |        126 |        121 |        122 |        121
    num misses                       |        121 |        116 |        117 |        116
    miss rate                        |     96.03% |     95.87% |     95.90% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15333 |      15164 |      15180 |      15164
    num cache misses                 |       1607 |       1606 |       1599 |       1522
    miss rate                        |     10.48% |     10.59% |     10.53% |     10.04%
    mpki                             |       0.13 |       0.13 |       0.13 |       0.12
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40204 |      39841 |      39843 |      39841
    num cache misses                 |       2779 |       2791 |       2801 |       2772
    miss rate                        |      6.91% |      7.01% |      7.03% |      6.96%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22
  Cache L2                           |            |            |            |           
    num cache accesses               |       4423 |       4430 |       4433 |       4327
    num cache misses                 |       2790 |       2674 |       2691 |       2689
    miss rate                        |     63.08% |     60.36% |     60.70% |     62.14%
    mpki                             |       0.22 |       0.21 |       0.21 |       0.21
  Cache L3                           |            |            |            |           
    num cache accesses               |       2829 |       2711 |       2728 |       2726
    num cache misses                 |       2479 |       2412 |       2423 |       2412
    miss rate                        |     87.63% |     88.97% |     88.82% |     88.48%
    mpki                             |       0.20 |       0.19 |       0.19 |       0.19
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9726 |          0 |          0 |          0
  average dram access latency (ns)   |      68.99 |        inf |        inf |        inf
  average dram queueing delay        |      15.56 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1129 |       1120 |       1120 |       1122
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
