                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   12620875 |   12620828 |   12614625 |   12614252 |   12621661
  Cycles                             |   21565418 |   21565418 |   21565418 |   21565418 |   21565418
  IPC                                |       0.59 |       0.59 |       0.58 |       0.58 |       0.59
  Time (ns)                          |    8107300 |    8107300 |    8107300 |    8107300 |    8107300
  Idle time (ns)                     |          0 |        -23 |        -71 |        -47 |        -71
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |    2521927 |    2521918 |    2520702 |    2520629 |    2522009
  num incorrect                      |       1451 |       1449 |       1440 |       1440 |       1516
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.11 |       0.11 |       0.11 |       0.11 |       0.12
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15185 |      15185 |      15164 |      15164 |      15333
    num misses                       |         49 |         49 |         48 |         48 |         52
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      39870 |      39895 |      39841 |      39841 |      40220
    num misses                       |         73 |         73 |         73 |         73 |         74
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        122 |        122 |        121 |        121 |        126
    num misses                       |        117 |        117 |        116 |        116 |        121
    miss rate                        |     95.90% |     95.90% |     95.87% |     95.87% |     96.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15185 |      15185 |      15164 |      15164 |      15333
    num cache misses                 |       3598 |       3450 |       3650 |       3613 |       3576
    miss rate                        |     23.69% |     22.72% |     24.07% |     23.83% |     23.32%
    mpki                             |       0.29 |       0.27 |       0.29 |       0.29 |       0.28
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      39870 |      39895 |      39841 |      39841 |      40220
    num cache misses                 |       3466 |       3472 |       3423 |       3433 |       3465
    miss rate                        |      8.69% |      8.70% |      8.59% |      8.62% |      8.62%
    mpki                             |       0.27 |       0.28 |       0.27 |       0.27 |       0.27
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       7096 |       6954 |       7105 |       7078 |       7076
    num cache misses                 |       3082 |       3098 |       3063 |       3055 |       3154
    miss rate                        |     43.43% |     44.55% |     43.11% |     43.16% |     44.57%
    mpki                             |       0.24 |       0.25 |       0.24 |       0.24 |       0.25
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3118 |       3135 |       3100 |       3091 |       3192
    num cache misses                 |       2426 |       2426 |       2412 |       2412 |       2479
    miss rate                        |     77.81% |     77.38% |     77.81% |     78.03% |     77.66%
    mpki                             |       0.19 |       0.19 |       0.19 |       0.19 |       0.20
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12155 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      70.81 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      17.38 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1130 |       1136 |       1130 |       1128 |       1139
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
