                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   12620490 |   12621668 |   12613966 |   12601519 |   12609105 |   12612890
  Cycles                             |   25765558 |   25765558 |   25765558 |   25765558 |   25765558 |   25765558
  IPC                                |       0.49 |       0.49 |       0.49 |       0.49 |       0.49 |       0.49
  Time (ns)                          |    9686300 |    9686300 |    9686300 |    9686300 |    9686300 |    9686300
  Idle time (ns)                     |        -45 |        -78 |        -47 |        -32 |        -45 |        -78
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2521877 |    2522009 |    2520569 |    2518080 |    2519597 |    2520354
  num incorrect                      |       1440 |       1516 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.11 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15164 |      15333 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         52 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      39841 |      40223 |      39841 |      39841 |      39841 |      39841
    num misses                       |         73 |         74 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        121 |        126 |        121 |        121 |        121 |        121
    num misses                       |        116 |        121 |        116 |        116 |        116 |        116
    miss rate                        |     95.87% |     96.03% |     95.87% |     95.87% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15164 |      15333 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       4883 |       4455 |       4894 |       4243 |       4730 |       4917
    miss rate                        |     32.20% |     29.05% |     32.27% |     27.98% |     31.19% |     32.43%
    mpki                             |       0.39 |       0.35 |       0.39 |       0.34 |       0.38 |       0.39
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      39841 |      40223 |      39841 |      39841 |      39841 |      39841
    num cache misses                 |       4099 |       3890 |       4108 |       3749 |       4038 |       4089
    miss rate                        |     10.29% |      9.67% |     10.31% |      9.41% |     10.14% |     10.26%
    mpki                             |       0.32 |       0.31 |       0.33 |       0.30 |       0.32 |       0.32
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       9012 |       8380 |       9032 |       8022 |       8798 |       9036
    num cache misses                 |       3350 |       3416 |       3351 |       3296 |       3351 |       3336
    miss rate                        |     37.17% |     40.76% |     37.10% |     41.09% |     38.09% |     36.92%
    mpki                             |       0.27 |       0.27 |       0.27 |       0.26 |       0.27 |       0.26
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3385 |       3453 |       3386 |       3332 |       3386 |       3372
    num cache misses                 |       2412 |       2481 |       2414 |       2414 |       2414 |       2414
    miss rate                        |     71.26% |     71.85% |     71.29% |     72.45% |     71.29% |     71.59%
    mpki                             |       0.19 |       0.20 |       0.19 |       0.19 |       0.19 |       0.19
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14551 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      73.75 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      20.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1138 |       1140 |       1132 |       1139 |       1139 |       1135
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
