                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   12621657 |   12576550 |   12583214 |   12584155 |   12579769 |   12590545 |   12579975 |   12586171
  Cycles                             |   34086038 |   34086038 |   34086038 |   34086038 |   34086038 |   34086038 |   34086038 |   34086038
  IPC                                |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37
  Time (ns)                          |   12814300 |   12814300 |   12814300 |   12814300 |   12814300 |   12814300 |   12814300 |   12814300
  Idle time (ns)                     |        -24 |         74 |         52 |         74 |         63 |         29 |         44 |        -24
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    2522009 |    2513085 |    2514419 |    2514606 |    2513730 |    2515885 |    2513771 |    2515012
  num incorrect                      |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      40218 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841
    num misses                       |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        121 |        116 |        116 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     96.03% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       4800 |       5125 |       5564 |       5619 |       5526 |       5318 |       5377 |       5645
    miss rate                        |     31.31% |     33.80% |     36.69% |     37.05% |     36.44% |     35.07% |     35.46% |     37.23%
    mpki                             |       0.38 |       0.41 |       0.44 |       0.45 |       0.44 |       0.42 |       0.43 |       0.45
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      40218 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841
    num cache misses                 |       4609 |       4835 |       4991 |       5022 |       4967 |       4918 |       4917 |       4999
    miss rate                        |     11.46% |     12.14% |     12.53% |     12.61% |     12.47% |     12.34% |     12.34% |     12.55%
    mpki                             |       0.37 |       0.38 |       0.40 |       0.40 |       0.39 |       0.39 |       0.39 |       0.40
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9443 |       9989 |      10585 |      10670 |      10521 |      10266 |      10323 |      10674
    num cache misses                 |       3822 |       3800 |       3866 |       3898 |       3833 |       3836 |       3842 |       3862
    miss rate                        |     40.47% |     38.04% |     36.52% |     36.53% |     36.43% |     37.37% |     37.22% |     36.18%
    mpki                             |       0.30 |       0.30 |       0.31 |       0.31 |       0.30 |       0.30 |       0.31 |       0.31
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3859 |       3836 |       3901 |       3933 |       3868 |       3870 |       3878 |       3897
    num cache misses                 |       2481 |       2414 |       2414 |       2414 |       2414 |       2414 |       2414 |       2414
    miss rate                        |     64.29% |     62.93% |     61.88% |     61.38% |     62.41% |     62.38% |     62.25% |     61.95%
    mpki                             |       0.20 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19385 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      77.39 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      23.96 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1143 |       1140 |       1140 |       1141 |       1141 |       1143 |       1139 |       1143
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
