                                     | Core 0     | Core 1    
  Instructions                       |   12621657 |   12621482
  Cycles                             |    8418900 |    8418900
  IPC                                |       1.50 |       1.50
  Time (ns)                          |    3165000 |    3165000
  Idle time (ns)                     |       -116 |        -53
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |    2522009 |    2521990
  num incorrect                      |       1516 |       1499
  misprediction rate                 |      0.06% |      0.06%
  mpki                               |       0.12 |       0.12
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15333 |      15302
    num misses                       |         52 |         51
    miss rate                        |      0.34% |      0.33%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |      40220 |      40183
    num misses                       |         74 |         74
    miss rate                        |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01
  L2 TLB                             |            |           
    num accesses                     |        126 |        125
    num misses                       |        121 |        120
    miss rate                        |     96.03% |     96.00%
    mpki                             |       0.01 |       0.01
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15333 |      15302
    num cache misses                 |          0 |          0
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |      40220 |      40183
    num cache misses                 |          0 |          0
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L2                           |            |           
    num cache accesses               |          0 |          0
    num cache misses                 |          0 |          0
    miss rate                        |       inf% |       inf%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |          0 |          0
    num cache misses                 |          0 |          0
    miss rate                        |       inf% |       inf%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |          0 |          0
  average dram access latency (ns)   |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          0 |          0
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
