                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   12600680 |   12616952 |   12610922 |   12620890 |   12620741 |   12591900 |   12621657 |   12589476 |   12588626 |   12617842 |   12587342 |   12588519 |   12595039 |   12589722 |   12588260 |   12587917
  Cycles                             |   67830266 |   67830266 |   67830266 |   67830266 |   67830266 |   67830266 |   67830266 |   67830266 |   67830266 |   67830266 |   67830266 |   67830266 |   67830266 |   67830266 |   67830266 |   67830266
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   25500100 |   25500100 |   25500100 |   25500100 |   25500100 |   25500100 |   25500100 |   25500100 |   25500100 |   25500100 |   25500100 |   25500100 |   25500100 |   25500100 |   25500100 |   25500100
  Idle time (ns)                     |         38 |         12 |          7 |        420 |         26 |          7 |        -57 |         12 |        -57 |          7 |        -16 |        126 |        103 |         38 |         26 |        161
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2517911 |    2521167 |    2519960 |    2521928 |    2521912 |    2516155 |    2522009 |    2515671 |    2515501 |    2521343 |    2515244 |    2515479 |    2516783 |    2515720 |    2515428 |    2515359
  num incorrect                      |       1440 |       1440 |       1440 |       1452 |       1444 |       1440 |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.11 |       0.11 |       0.11 |       0.12 |       0.11 |       0.11 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15164 |      15189 |      15174 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         48 |         48 |         49 |         49 |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39841 |      39841 |      39841 |      39918 |      39851 |      39841 |      40218 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841
    num misses                       |         73 |         73 |         73 |         73 |         73 |         73 |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        121 |        121 |        121 |        122 |        122 |        121 |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        116 |        116 |        116 |        117 |        117 |        116 |        121 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     95.87% |     95.87% |     95.87% |     95.90% |     95.90% |     95.87% |     96.03% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15164 |      15164 |      15164 |      15189 |      15174 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       6792 |       6392 |       6411 |       5937 |       5932 |       6904 |       5749 |       7017 |       6988 |       6018 |       6764 |       6872 |       6664 |       7039 |       6995 |       6990
    miss rate                        |     44.79% |     42.15% |     42.28% |     39.09% |     39.09% |     45.53% |     37.49% |     46.27% |     46.08% |     39.69% |     44.61% |     45.32% |     43.95% |     46.42% |     46.13% |     46.10%
    mpki                             |       0.54 |       0.51 |       0.51 |       0.47 |       0.47 |       0.55 |       0.46 |       0.56 |       0.56 |       0.48 |       0.54 |       0.55 |       0.53 |       0.56 |       0.56 |       0.56
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39841 |      39841 |      39841 |      39918 |      39851 |      39841 |      40218 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841
    num cache misses                 |       9714 |       9257 |       9321 |       8996 |       8977 |       9941 |       8951 |      10125 |      10196 |       9126 |       9949 |       9938 |       9693 |      10124 |       9992 |      10005
    miss rate                        |     24.38% |     23.23% |     23.40% |     22.54% |     22.53% |     24.95% |     22.26% |     25.41% |     25.59% |     22.91% |     24.97% |     24.94% |     24.33% |     25.41% |     25.08% |     25.11%
    mpki                             |       0.77 |       0.73 |       0.74 |       0.71 |       0.71 |       0.79 |       0.71 |       0.80 |       0.81 |       0.72 |       0.79 |       0.79 |       0.77 |       0.80 |       0.79 |       0.79
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      16537 |      15680 |      15763 |      14965 |      14941 |      16875 |      14732 |      17172 |      17215 |      15175 |      16742 |      16841 |      16388 |      17194 |      17019 |      17025
    num cache misses                 |      14062 |      12977 |      13179 |      12434 |      12309 |      14447 |      12409 |      14722 |      14771 |      12760 |      14452 |      14447 |      14177 |      14699 |      14406 |      14546
    miss rate                        |     85.03% |     82.76% |     83.61% |     83.09% |     82.38% |     85.61% |     84.23% |     85.73% |     85.80% |     84.09% |     86.32% |     85.78% |     86.51% |     85.49% |     84.65% |     85.44%
    mpki                             |       1.12 |       1.03 |       1.05 |       0.99 |       0.98 |       1.15 |       0.98 |       1.17 |       1.17 |       1.01 |       1.15 |       1.15 |       1.13 |       1.17 |       1.14 |       1.16
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14093 |      13009 |      13211 |      12469 |      12343 |      14479 |      12443 |      14753 |      14802 |      12792 |      14482 |      14478 |      14209 |      14731 |      14438 |      14576
    num cache misses                 |       2723 |       2708 |       2720 |       2704 |       2698 |       2723 |       2752 |       2719 |       2733 |       2711 |       2726 |       2721 |       2705 |       2719 |       2717 |       2730
    miss rate                        |     19.32% |     20.82% |     20.59% |     21.69% |     21.86% |     18.81% |     22.12% |     18.43% |     18.46% |     21.19% |     18.82% |     18.79% |     19.04% |     18.46% |     18.82% |     18.73%
    mpki                             |       0.22 |       0.21 |       0.22 |       0.21 |       0.21 |       0.22 |       0.22 |       0.22 |       0.22 |       0.21 |       0.22 |       0.22 |       0.21 |       0.22 |       0.22 |       0.22
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      44003 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     102.19 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      48.76 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1398 |       1391 |       1392 |       1369 |       1366 |       1406 |       1373 |       1401 |       1421 |       1384 |       1408 |       1409 |       1397 |       1404 |       1398 |       1411
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
