                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   12621342 |   12601457 |   12621636
  Cycles                             |   12940900 |   12940900 |   12940900
  IPC                                |       0.98 |       0.97 |       0.98
  Time (ns)                          |    4865000 |    4865000 |    4865000
  Idle time (ns)                     |        -38 |        -53 |        -53
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |    2521978 |    2518074 |    2522009
  num incorrect                      |       1485 |       1440 |       1516
  misprediction rate                 |      0.06% |      0.06% |      0.06%
  mpki                               |       0.12 |       0.11 |       0.12
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15278 |      15164 |      15333
    num misses                       |         50 |         48 |         52
    miss rate                        |      0.33% |      0.32% |      0.34%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40060 |      39841 |      40204
    num misses                       |         74 |         73 |         74
    miss rate                        |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |           
    num accesses                     |        124 |        121 |        126
    num misses                       |        119 |        116 |        121
    miss rate                        |     95.97% |     95.87% |     96.03%
    mpki                             |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15278 |      15164 |      15333
    num cache misses                 |       1303 |       1214 |       1340
    miss rate                        |      8.53% |      8.01% |      8.74%
    mpki                             |       0.10 |       0.10 |       0.11
  Cache L1-D                         |            |            |           
    num cache accesses               |      40060 |      39841 |      40204
    num cache misses                 |       2265 |       2253 |       2304
    miss rate                        |      5.65% |      5.65% |      5.73%
    mpki                             |       0.18 |       0.18 |       0.18
  Cache L2                           |            |            |           
    num cache accesses               |       3607 |       3508 |       3688
    num cache misses                 |       2659 |       2630 |       2696
    miss rate                        |     73.72% |     74.97% |     73.10%
    mpki                             |       0.21 |       0.21 |       0.21
  Cache L3                           |            |            |           
    num cache accesses               |       2700 |       2672 |       2741
    num cache misses                 |       2446 |       2412 |       2479
    miss rate                        |     90.59% |     90.27% |     90.44%
    mpki                             |       0.19 |       0.19 |       0.20
DRAM summary                         |            |            |           
  num dram accesses                  |       7337 |          0 |          0
  average dram access latency (ns)   |      68.36 |        inf |        inf
  average dram queueing delay        |      14.93 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1127 |       1127 |       1138
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
