                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   12621636 |   12585150 |   12602536 |   12596446 |   12583740
  Cycles                             |   21342776 |   21342776 |   21342776 |   21342776 |   21342776
  IPC                                |       0.59 |       0.59 |       0.59 |       0.59 |       0.59
  Time (ns)                          |    8023600 |    8023600 |    8023600 |    8023600 |    8023600
  Idle time (ns)                     |        -79 |        -35 |        -79 |        -42 |        -18
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |    2522009 |    2514805 |    2518283 |    2517065 |    2514527
  num incorrect                      |       1516 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.12 |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15333 |      15164 |      15164 |      15164 |      15164
    num misses                       |         52 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40204 |      39841 |      39841 |      39841 |      39841
    num misses                       |         74 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        126 |        121 |        121 |        121 |        121
    num misses                       |        121 |        116 |        116 |        116 |        116
    miss rate                        |     96.03% |     95.87% |     95.87% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15333 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       3275 |       3463 |       3463 |       3355 |       3325
    miss rate                        |     21.36% |     22.84% |     22.84% |     22.12% |     21.93%
    mpki                             |       0.26 |       0.28 |       0.27 |       0.27 |       0.26
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40204 |      39841 |      39841 |      39841 |      39841
    num cache misses                 |       3326 |       3344 |       3377 |       3401 |       3325
    miss rate                        |      8.27% |      8.39% |      8.48% |      8.54% |      8.35%
    mpki                             |       0.26 |       0.27 |       0.27 |       0.27 |       0.26
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       6635 |       6838 |       6872 |       6788 |       6682
    num cache misses                 |       3131 |       3032 |       3034 |       3030 |       3036
    miss rate                        |     47.19% |     44.34% |     44.15% |     44.64% |     45.44%
    mpki                             |       0.25 |       0.24 |       0.24 |       0.24 |       0.24
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3170 |       3069 |       3071 |       3067 |       3073
    num cache misses                 |       2479 |       2412 |       2412 |       2412 |       2412
    miss rate                        |     78.20% |     78.59% |     78.54% |     78.64% |     78.49%
    mpki                             |       0.20 |       0.19 |       0.19 |       0.19 |       0.19
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12127 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      73.00 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      19.58 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1134 |       1128 |       1132 |       1137 |       1130
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
