                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13    
  Instructions                       |    70118594 |    70121319 |    70098830 |    70109544 |    70109025 |    70121716 |    70117496 |    70096603 |    70097850 |    70108721 |    70094870 |    70121163 |    70100948 |    70120916
  Cycles                             |  1927094190 |  1927094190 |  1927094190 |  1927094190 |  1927094190 |  1927094190 |  1927094190 |  1927094190 |  1927094190 |  1927094190 |  1927094190 |  1927094190 |  1927094190 |  1927094190
  IPC                                |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                          |   724471500 |   724471500 |   724471500 |   724471500 |   724471500 |   724471500 |   724471500 |   724471500 |   724471500 |   724471500 |   724471500 |   724471500 |   724471500 |   724471500
  Idle time (ns)                     |         302 |        1874 |         141 |           5 |          76 |         -84 |          76 |           5 |         244 |         235 |         259 |        1396 |         -84 |        4021
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10021594 |    10021965 |    10018771 |    10020301 |    10020227 |    10022008 |    10021438 |    10018453 |    10018631 |    10020184 |    10018205 |    10021945 |    10019074 |    10021919
  num incorrect                      |        1443 |        1478 |        1443 |        1443 |        1443 |        1519 |        1443 |        1443 |        1443 |        1443 |        1443 |        1471 |        1443 |        1453
  misprediction rate                 |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15171 |       15262 |       15171 |       15171 |       15171 |       15340 |       15171 |       15171 |       15171 |       15171 |       15171 |       15235 |       15171 |       15191
    num misses                       |          48 |          50 |          48 |          48 |          48 |          52 |          48 |          48 |          48 |          48 |          48 |          49 |          48 |          49
    miss rate                        |       0.32% |       0.33% |       0.32% |       0.32% |       0.32% |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60037965 |    60040084 |    60021025 |    60030204 |    60029761 |    60040234 |    60037026 |    60019118 |    60020183 |    60029503 |    60017630 |    60040020 |    60022842 |    60039917
    num misses                       |          79 |          80 |          79 |          79 |          79 |          80 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          79
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         127 |         130 |         127 |         127 |         127 |         132 |         127 |         127 |         127 |         127 |         127 |         128 |         127 |         128
    num misses                       |         116 |         119 |         116 |         116 |         116 |         121 |         116 |         116 |         116 |         116 |         116 |         117 |         116 |         117
    miss rate                        |      91.34% |      91.54% |      91.34% |      91.34% |      91.34% |      91.67% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34% |      91.41% |      91.34% |      91.41%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15171 |       15262 |       15171 |       15171 |       15171 |       15340 |       15171 |       15171 |       15171 |       15171 |       15171 |       15235 |       15171 |       15191
    num cache misses                 |        6384 |        5327 |        6406 |        6847 |        6783 |        5647 |        6055 |        6724 |        6806 |        6636 |        6716 |        5767 |        6448 |        5879
    miss rate                        |      42.08% |      34.90% |      42.23% |      45.13% |      44.71% |      36.81% |      39.91% |      44.32% |      44.86% |      43.74% |      44.27% |      37.85% |      42.50% |      38.70%
