                                     | Core 0     | Core 1    
  Instructions                       |   70120965 |   70121713
  Cycles                             |  500609872 |  500609872
  IPC                                |       0.14 |       0.14
  Time (ns)                          |  188199200 |  188199200
  Idle time (ns)                     |        -68 |       -197
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   10021927 |   10022008
  num incorrect                      |       1455 |       1519
  misprediction rate                 |      0.01% |      0.02%
  mpki                               |       0.02 |       0.02
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15195 |      15340
    num misses                       |         49 |         52
    miss rate                        |      0.32% |      0.34%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   60039946 |   60040233
    num misses                       |         79 |         80
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        128 |        132
    num misses                       |        117 |        121
    miss rate                        |     91.41% |     91.67%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15195 |      15340
    num cache misses                 |        916 |        971
    miss rate                        |      6.03% |      6.33%
    mpki                             |       0.01 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |   60039946 |   60040233
    num cache misses                 |       1923 |       1938
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.03 |       0.03
  Cache L2                           |            |           
    num cache accesses               |       2876 |       2947
    num cache misses                 |       2510 |       2568
    miss rate                        |     87.27% |     87.14%
    mpki                             |       0.04 |       0.04
  Cache L3                           |            |           
    num cache accesses               |       2548 |       2607
    num cache misses                 |       2432 |       2482
    miss rate                        |     95.45% |     95.21%
    mpki                             |       0.03 |       0.04
DRAM summary                         |            |           
  num dram accesses                  |       4914 |          0
  average dram access latency (ns)   |      67.13 |        inf
  average dram queueing delay        |      13.70 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1115 |       1121
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
