                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   70120933 |   70120836 |   70120925 |   70120534 |   70120824 |   70121723 |   70121642 |   70121589 |   70121480 |   70121267 |   70121082 |   70121037 |   70121331 |   70121361
  Cycles                             |  560488866 |  560488866 |  560488866 |  560488866 |  560488866 |  560488866 |  560488866 |  560488866 |  560488866 |  560488866 |  560488866 |  560488866 |  560488866 |  560488866
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |  210710100 |  210710100 |  210710100 |  210710100 |  210710100 |  210710100 |  210710100 |  210710100 |  210710100 |  210710100 |  210710100 |  210710100 |  210710100 |  210710100
  Idle time (ns)                     |         42 |         35 |        -46 |         65 |        -46 |        -52 |         76 |         14 |        103 |        -52 |         95 |         42 |        -13 |         65
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021921 |   10021911 |   10021921 |   10021871 |   10021911 |   10022008 |   10022001 |   10021998 |   10021983 |   10021958 |   10021935 |   10021930 |   10021965 |   10021968
  num incorrect                      |       1454 |       1445 |       1454 |       1443 |       1444 |       1519 |       1512 |       1506 |       1497 |       1474 |       1469 |       1460 |       1480 |       1481
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15191 |      15180 |      15191 |      15171 |      15177 |      15340 |      15330 |      15322 |      15296 |      15256 |      15219 |      15205 |      15265 |      15271
    num misses                       |         49 |         49 |         49 |         48 |         49 |         52 |         51 |         51 |         50 |         49 |         49 |         49 |         50 |         50
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.33% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   60039936 |   60039881 |   60039927 |   60039626 |   60039877 |   60040245 |   60040255 |   60040229 |   60040170 |   60040069 |   60039992 |   60039978 |   60040096 |   60040115
    num misses                       |         79 |         79 |         79 |         79 |         79 |         80 |         80 |         80 |         80 |         79 |         79 |         79 |         80 |         80
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        128 |        128 |        128 |        127 |        128 |        132 |        131 |        131 |        130 |        128 |        128 |        128 |        130 |        130
