                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   70120985 |   70120851 |   70121770 |   70121182 |   70121170 |   70120983
  Cycles                             |  240212364 |  240212364 |  240212364 |  240212364 |  240212364 |  240212364
  IPC                                |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
  Time (ns)                          |   90305400 |   90305400 |   90305400 |   90305400 |   90305400 |   90305400
  Idle time (ns)                     |        -38 |         20 |        -41 |         -8 |         -4 |         -8
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   10021927 |   10021912 |   10022008 |   10021948 |   10021948 |   10021927
  num incorrect                      |       1456 |       1452 |       1519 |       1472 |       1472 |       1456
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15198 |      15185 |      15340 |      15239 |      15239 |      15198
    num misses                       |         49 |         49 |         52 |         49 |         49 |         49
    miss rate                        |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   60039956 |   60039897 |   60040264 |   60040021 |   60040021 |   60039957
    num misses                       |         79 |         79 |         80 |         79 |         79 |         79
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        128 |        128 |        132 |        128 |        128 |        128
    num misses                       |        117 |        117 |        121 |        117 |        117 |        117
    miss rate                        |     91.41% |     91.41% |     91.67% |     91.41% |     91.41% |     91.41%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15198 |      15185 |      15340 |      15239 |      15239 |      15198
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   60039956 |   60039897 |   60040264 |   60040021 |   60040021 |   60039957
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
