                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |    69985142 |    69999009 |    69984015 |    70011424 |    70002342 |    69975473 |    69993910 |    69989640 |    69987806 |    69988128 |    69985017 |    69989864 |    69982216 |    69273684 |    70121711 |    69938925
  Cycles                             |  1745956968 |  1745956968 |  1745956968 |  1745956968 |  1745956968 |  1745956968 |  1745956968 |  1745956968 |  1745956968 |  1745956968 |  1745956968 |  1745956968 |  1745956968 |  1745956968 |  1745956968 |  1745956968
  IPC                                |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                          |   656374800 |   656374800 |   656374800 |   656374800 |   656374800 |   656374800 |   656374800 |   656374800 |   656374800 |   656374800 |   656374800 |   656374800 |   656374800 |   656374800 |   656374800 |   656374800
  Idle time (ns)                     |         170 |         265 |         257 |         -20 |         490 |         419 |         419 |         229 |         378 |         170 |         341 |         593 |         265 |         229 |         -20 |         133
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10002530 |    10004511 |    10002369 |    10006284 |    10004987 |    10001148 |    10003782 |    10003172 |    10002910 |    10002956 |    10002512 |    10003204 |    10002111 |     9900893 |    10022008 |     9995927
  num incorrect                      |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1519 |        1443
  misprediction rate                 |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.01%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15340 |       15171
    num misses                       |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          52 |          48
    miss rate                        |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.34% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    59923575 |    59935462 |    59922609 |    59946086 |    59938321 |    59915283 |    59931093 |    59927430 |    59925859 |    59926138 |    59923472 |    59927624 |    59921068 |    59313759 |    60040231 |    59883963
    num misses                       |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          80 |          79
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         127 |         127 |         127 |         127 |         127 |         127 |         127 |         127 |         127 |         127 |         127 |         127 |         127 |         127 |         132 |         127
    num misses                       |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         121 |         116
