                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   70121711 |   70119899 |   70110362 |   70120858 |   70109231
  Cycles                             |  200542454 |  200542454 |  200542454 |  200542454 |  200542454
  IPC                                |       0.35 |       0.35 |       0.35 |       0.35 |       0.35
  Time (ns)                          |   75391900 |   75391900 |   75391900 |   75391900 |   75391900
  Idle time (ns)                     |        -71 |        -44 |        -19 |        166 |        -71
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022008 |   10021781 |   10020420 |   10021912 |   10020258
  num incorrect                      |       1519 |       1443 |       1443 |       1452 |       1443
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15340 |      15171 |      15171 |      15186 |      15171
    num misses                       |         52 |         48 |         48 |         49 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   60040231 |   60039088 |   60030918 |   60039878 |   60029926
    num misses                       |         80 |         79 |         79 |         79 |         79
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        132 |        127 |        127 |        128 |        127
    num misses                       |        121 |        116 |        116 |        117 |        116
    miss rate                        |     91.67% |     91.34% |     91.34% |     91.41% |     91.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15340 |      15171 |      15171 |      15186 |      15171
    num cache misses                 |       3302 |       3263 |       3257 |       3372 |       3349
    miss rate                        |     21.53% |     21.51% |     21.47% |     22.20% |     22.08%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   60040231 |   60039088 |   60030918 |   60039878 |   60029926
    num cache misses                 |       3221 |       3223 |       3199 |       3247 |       3202
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       6558 |       6519 |       6489 |       6652 |       6585
    num cache misses                 |       3185 |       3117 |       3107 |       3120 |       3111
    miss rate                        |     48.57% |     47.81% |     47.88% |     46.90% |     47.24%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04 |       0.04
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3221 |       3151 |       3142 |       3155 |       3147
    num cache misses                 |       2482 |       2416 |       2416 |       2427 |       2416
    miss rate                        |     77.06% |     76.67% |     76.89% |     76.93% |     76.77%
    mpki                             |       0.04 |       0.03 |       0.03 |       0.03 |       0.03
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12157 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      73.32 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      19.89 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1141 |       1133 |       1141 |       1136 |       1141
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
