                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   60121529 |   60121577 |   60121528 |   60121504 |   60121438 |   60121375 |   60121660 |   60121303
  Cycles                             |  160299846 |  160299846 |  160299846 |  160299846 |  160299846 |  160299846 |  160299846 |  160299846
  IPC                                |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38
  Time (ns)                          |   60263100 |   60263100 |   60263100 |   60263100 |   60263100 |   60263100 |   60263100 |   60263100
  Idle time (ns)                     |        -11 |          7 |        -33 |        -71 |        -24 |        -45 |        -71 |        -24
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10022002 |   10022008 |   10022002 |   10022000 |   10021988 |   10021985 |   10022011 |   10021975
  num incorrect                      |       1506 |       1511 |       1506 |       1502 |       1495 |       1490 |       1515 |       1481
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      15320 |      15327 |      15321 |      15314 |      15295 |      15286 |      15333 |      15271
    num misses                       |         51 |         51 |         51 |         51 |         51 |         50 |         52 |         50
    miss rate                        |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.34% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      40211 |      40243 |      40222 |      40202 |      40173 |      40144 |      40229 |      40103
    num misses                       |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        124 |        124 |        124 |        124 |        124 |        123 |        125 |        123
    num misses                       |        122 |        122 |        122 |        122 |        122 |        121 |        123 |        121
    miss rate                        |     98.39% |     98.39% |     98.39% |     98.39% |     98.39% |     98.37% |     98.40% |     98.37%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15320 |      15327 |      15321 |      15314 |      15295 |      15286 |      15333 |      15271
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      40211 |      40243 |      40222 |      40202 |      40173 |      40144 |      40229 |      40103
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
