                                     | Core 0    
  Instructions                       |   60121730
  Cycles                             |   70462336
  IPC                                |       0.85
  Time (ns)                          |   26489600
  Idle time (ns)                     |         -7
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   10022011
  num incorrect                      |       1515
  misprediction rate                 |      0.02%
  mpki                               |       0.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      15333
    num misses                       |         52
    miss rate                        |      0.34%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |      40262
    num misses                       |         73
    miss rate                        |      0.18%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        125
    num misses                       |        123
    miss rate                        |     98.40%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      15333
    num cache misses                 |        872
    miss rate                        |      5.69%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |      40262
    num cache misses                 |       1803
    miss rate                        |      4.48%
    mpki                             |       0.03
  Cache L2                           |           
    num cache accesses               |       2714
    num cache misses                 |       2479
    miss rate                        |     91.34%
    mpki                             |       0.04
  Cache L3                           |           
    num cache accesses               |       2520
    num cache misses                 |       2477
    miss rate                        |     98.29%
    mpki                             |       0.04
DRAM summary                         |           
  num dram accesses                  |       2477
  average dram access latency (ns)   |      55.39
  average dram queueing delay        |       1.96
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |       1120
  num loads from dram cache          |          0
  num loads from remote cache        |          0
