                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   60100390 |   60112539 |   60079724 |   60079803 |   60082196 |   60079635 |   60093327 |   60081235 |   60077175 |   60078585 |   60086397 |   60077476 |   60121652 |   60077625
  Cycles                             |  281143380 |  281143380 |  281143380 |  281143380 |  281143380 |  281143380 |  281143380 |  281143380 |  281143380 |  281143380 |  281143380 |  281143380 |  281143380 |  281143380
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |  105693000 |  105693000 |  105693000 |  105693000 |  105693000 |  105693000 |  105693000 |  105693000 |  105693000 |  105693000 |  105693000 |  105693000 |  105693000 |  105693000
  Idle time (ns)                     |        113 |         24 |        113 |         58 |         24 |         97 |         18 |          3 |        -27 |        -57 |        135 |        129 |        -57 |         -9
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10018534 |   10020559 |   10015090 |   10015103 |   10015502 |   10015075 |   10017357 |   10015341 |   10014665 |   10014900 |   10016202 |   10014715 |   10022011 |   10014740
  num incorrect                      |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1515 |       1437
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15333 |      15164
    num misses                       |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         52 |         48
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      40224 |      39845
