                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   60121628 |   60120828 |   60116991 |   60108081 |   60106120
  Cycles                             |  100729678 |  100729678 |  100729678 |  100729678 |  100729678
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |   37868300 |   37868300 |   37868300 |   37868300 |   37868300
  Idle time (ns)                     |        -99 |        -39 |        -99 |        -40 |        -60
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022011 |   10021923 |   10021302 |   10019816 |   10019492
  num incorrect                      |       1515 |       1447 |       1437 |       1437 |       1437
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15333 |      15184 |      15164 |      15164 |      15164
    num misses                       |         52 |         49 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40208 |      39899 |      39845 |      39845 |      39845
    num misses                       |         73 |         72 |         72 |         72 |         72
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        125 |        121 |        120 |        120 |        120
    num misses                       |        123 |        119 |        118 |        118 |        118
    miss rate                        |     98.40% |     98.35% |     98.33% |     98.33% |     98.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15333 |      15184 |      15164 |      15164 |      15164
    num cache misses                 |       3207 |       3310 |       3402 |       3408 |       3483
    miss rate                        |     20.92% |     21.80% |     22.43% |     22.47% |     22.97%
    mpki                             |       0.05 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40208 |      39899 |      39845 |      39845 |      39845
    num cache misses                 |       3300 |       3358 |       3385 |       3310 |       3390
    miss rate                        |      8.21% |      8.42% |      8.50% |      8.31% |      8.51%
    mpki                             |       0.05 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       6543 |       6703 |       6821 |       6751 |       6906
    num cache misses                 |       3153 |       3092 |       3101 |       3074 |       3082
    miss rate                        |     48.19% |     46.13% |     45.46% |     45.53% |     44.63%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3191 |       3129 |       3137 |       3110 |       3117
    num cache misses                 |       2477 |       2425 |       2411 |       2411 |       2411
    miss rate                        |     77.62% |     77.50% |     76.86% |     77.52% |     77.35%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12135 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      70.46 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      17.03 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1136 |       1134 |       1127 |       1130 |       1136
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
