                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   60121720 |   60121245 |   60121640 |   60121276 |   60121387 |   60121180 |   60121147 |   60121033 |   60121010 |   60121010 |   60120950 |   60120835 |   60120865 |   60120752 |   60120745 |   60120668
  Cycles                             |  320560324 |  320560324 |  320560324 |  320560324 |  320560324 |  320560324 |  320560324 |  320560324 |  320560324 |  320560324 |  320560324 |  320560324 |  320560324 |  320560324 |  320560324 |  320560324
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |  120511400 |  120511400 |  120511400 |  120511400 |  120511400 |  120511400 |  120511400 |  120511400 |  120511400 |  120511400 |  120511400 |  120511400 |  120511400 |  120511400 |  120511400 |  120511400
  Idle time (ns)                     |        -37 |         48 |        -37 |        -37 |        149 |         28 |         28 |         93 |         13 |        -21 |        -27 |         93 |        -37 |         44 |         13 |         79
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022011 |   10021969 |   10022004 |   10021963 |   10021985 |   10021962 |   10021957 |   10021942 |   10021940 |   10021940 |   10021935 |   10021924 |   10021918 |   10021917 |   10021917 |   10021914
  num incorrect                      |       1515 |       1475 |       1508 |       1471 |       1491 |       1469 |       1469 |       1464 |       1463 |       1463 |       1454 |       1448 |       1446 |       1445 |       1444 |       1437
  misprediction rate                 |      0.02% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15333 |      15257 |      15323 |      15250 |      15286 |      15249 |      15244 |      15219 |      15213 |      15214 |      15198 |      15184 |      15179 |      15177 |      15175 |      15164
    num misses                       |         52 |         50 |         51 |         49 |         50 |         49 |         49 |         49 |         49 |         49 |         49 |         49 |         49 |         49 |         49 |         48
    miss rate                        |      0.34% |      0.33% |      0.33% |      0.32% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
